"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.337313828E2,5.233473802E1,4.863931272E0,4.357890397E0,NaN,NaN,3.500000000E1,1.757957077E1
1.379512228E2,5.233489039E1,4.863932982E0,3.983245283E0,NaN,NaN,3.800000000E1,1.877162170E1
1.439551038E2,5.233494804E1,4.863937256E0,3.614487827E0,NaN,NaN,3.500000000E1,2.012655449E1
1.439718398E2,5.233494189E1,4.863937103E0,3.491490841E0,NaN,NaN,3.500000000E1,1.672891235E1
1.488801438E2,5.233494126E1,4.863944376E0,3.414263725E0,NaN,NaN,3.500000000E1,1.891631508E1
1.511675978E2,5.233489172E1,4.863940346E0,3.793411523E0,NaN,NaN,3.500000000E1,1.797690010E1
1.512238728E2,5.233488850E1,4.863931798E0,3.953972086E0,NaN,NaN,3.500000000E1,1.548321152E1
1.551591288E2,5.233480377E1,4.863919157E0,4.115900725E0,NaN,NaN,3.500000000E1,1.783060265E1
1.572876438E2,5.233475064E1,4.863925970E0,4.256960049E0,NaN,NaN,3.500000000E1,1.737357712E1
1.573914648E2,5.233474651E1,4.863929057E0,4.328308791E0,NaN,NaN,3.500000000E1,1.515716648E1
1.633978597E2,5.233490718E1,4.863931805E0,3.876415282E0,NaN,NaN,3.500000000E1,1.910617828E1
1.637609917E2,5.233493716E1,4.863929549E0,3.771076798E0,NaN,NaN,3.530032030E1,1.646990776E1
1.697700978E2,5.233495320E1,4.863943006E0,3.576308072E0,NaN,NaN,3.500000000E1,1.947770691E1
1.700794548E2,5.233494517E1,4.863943906E0,3.494182229E0,NaN,NaN,3.500000000E1,1.662918472E1
1.760964158E2,5.233495750E1,4.863926276E0,3.476895273E0,NaN,NaN,3.800000000E1,1.952706528E1
1.762896298E2,5.233495863E1,4.863924660E0,3.465525806E0,NaN,NaN,3.800000000E1,1.654917908E1
1.822957328E2,5.233488903E1,4.863934815E0,3.856517047E0,NaN,NaN,3.500000000E1,1.949849701E1
1.824289458E2,5.233488182E1,4.863935190E0,4.017987341E0,NaN,NaN,3.500000000E1,1.647628403E1
1.884371548E2,5.233494117E1,4.863927820E0,3.814083636E0,NaN,NaN,3.800000000E1,1.947901917E1
1.886655408E2,5.233495072E1,4.863924165E0,3.692884684E0,NaN,NaN,3.800000000E1,1.655468750E1
1.946729898E2,5.233496627E1,4.863924422E0,3.607881308E0,NaN,NaN,3.800000000E1,1.950079346E1
1.950005417E2,5.233496331E1,4.863924672E0,3.572059274E0,NaN,NaN,3.800000000E1,1.665889740E1
2.010139638E2,5.233496216E1,4.863926992E0,3.512608171E0,NaN,NaN,3.800000000E1,1.953354836E1
2.012516277E2,5.233496124E1,4.863927159E0,3.487892509E0,NaN,NaN,3.800000000E1,1.659430885E1
2.072591278E2,5.233496003E1,4.863926636E0,3.496312797E0,NaN,NaN,3.800000000E1,1.951203728E1
2.073007798E2,5.233496005E1,4.863926407E0,3.497758269E0,NaN,NaN,3.800000000E1,1.639685249E1
2.133084288E2,5.233495357E1,4.863912215E0,3.536810637E0,NaN,NaN,3.800000000E1,1.945623589E1
2.137029608E2,5.233495608E1,4.863916993E0,3.533751428E0,NaN,NaN,3.800000000E1,1.669541168E1
2.197104347E2,5.233496001E1,4.863926409E0,3.504646897E0,NaN,NaN,3.800000000E1,1.954065323E1
2.198210358E2,5.233496074E1,4.863928116E0,3.492729545E0,NaN,NaN,3.800000000E1,1.647922134E1
2.258269978E2,5.233495959E1,4.863925092E0,3.397951007E0,NaN,NaN,3.800000000E1,1.947861671E1
2.260135778E2,5.233495909E1,4.863923870E0,3.358540595E0,NaN,NaN,3.800000000E1,1.651523972E1
2.320208618E2,5.233496000E1,4.863926097E0,3.421476066E0,NaN,NaN,3.800000000E1,1.948953629E1
2.322861658E2,5.233496017E1,4.863926526E0,3.447848022E0,NaN,NaN,3.800000000E1,1.659505844E1
2.351148608E2,5.233489162E1,4.863927629E0,3.798994571E0,NaN,NaN,3.500000000E1,1.740245056E1
2.388369568E2,5.233482808E1,4.863934290E0,4.055802375E0,NaN,NaN,3.500000000E1,1.838242531E1
2.397764007E2,5.233481859E1,4.863935311E0,4.186784059E0,NaN,NaN,3.500000000E1,1.661268425E1
2.418849178E2,5.233476323E1,4.863933392E0,4.314606592E0,NaN,NaN,3.500000000E1,1.679631996E1
2.461237017E2,5.233489966E1,4.863938664E0,3.892606184E0,NaN,NaN,3.500000000E1,1.851176834E1
2.521316298E2,5.233495598E1,4.863941980E0,3.585098982E0,NaN,NaN,3.500000000E1,2.005517960E1
2.523102228E2,5.233495936E1,4.863936117E0,3.533105135E0,NaN,NaN,3.507169046E1,1.683427429E1
2.583179378E2,5.233496633E1,4.863928750E0,3.484918296E0,NaN,NaN,3.800000000E1,1.958011627E1
2.584711128E2,5.233496343E1,4.863927860E0,3.465175748E0,NaN,NaN,3.800000000E1,1.654203987E1
2.644731428E2,5.233496059E1,4.863924639E0,3.494879305E0,NaN,NaN,3.800000000E1,1.949424553E1
2.654055608E2,5.233490419E1,4.863929200E0,3.814201623E0,NaN,NaN,3.500000000E1,1.718683243E1
2.714196048E2,5.233494965E1,4.863927838E0,3.619021893E0,NaN,NaN,3.800000000E1,1.968335724E1
2.716128238E2,5.233495589E1,4.863927705E0,3.539610147E0,NaN,NaN,3.800000000E1,1.663813400E1
2.776156328E2,5.233496551E1,4.863927055E0,3.466304004E0,NaN,NaN,3.800000000E1,1.952189255E1
2.778909988E2,5.233496293E1,4.863926377E0,3.491184890E0,NaN,NaN,3.800000000E1,1.662265587E1
2.838947688E2,5.233495842E1,4.863916640E0,3.499192953E0,NaN,NaN,3.800000000E1,1.951803017E1
2.844140938E2,5.233495729E1,4.863915334E0,3.523358107E0,NaN,NaN,3.800000000E1,1.684193993E1
2.857104447E2,5.233495658E1,4.863914472E0,3.538556576E0,NaN,NaN,3.800000000E1,1.614005661E1
2.917160237E2,5.233495862E1,4.863921987E0,3.518570006E0,NaN,NaN,3.800000000E1,1.938246918E1
2.917397568E2,5.233495900E1,4.863922926E0,3.510331869E0,NaN,NaN,3.800000000E1,1.630336571E1
2.977446198E2,5.233496067E1,4.863927986E0,3.440402210E0,NaN,NaN,3.800000000E1,1.942824554E1
2.980540288E2,5.233496069E1,4.863927953E0,3.410756409E0,NaN,NaN,3.800000000E1,1.660140228E1
