"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.020185417E-1,-3.787362576E-1,8.494161814E-2,-3.014168143E-1
9.120895417E-1,-3.535075188E-1,5.971627682E-2,-2.661936283E-1
9.221605417E-1,-2.827976644E-1,6.544846296E-2,-2.475344688E-1
9.322315417E-1,-1.846680939E-1,1.126128361E-1,-2.132044286E-1
9.423025417E-1,-6.579577178E-2,1.812749952E-1,-1.393762827E-1
9.523735417E-1,4.352294281E-2,3.314059377E-1,-1.334231645E-1
9.624445417E-1,6.996174157E-2,5.217819810E-1,-1.570898741E-1
9.725155417E-1,-3.546569496E-2,8.629738688E-1,-1.645993888E-1
9.825875417E-1,-2.281957418E-1,1.196454406E0,-1.032505482E-1
9.926585417E-1,-4.414588809E-1,1.287586093E0,1.360260881E-2
1.002729542E0,-6.089424491E-1,1.156282425E0,1.164203361E-1
1.012800542E0,-6.948708296E-1,9.238227010E-1,1.660719961E-1
1.022871542E0,-7.221410275E-1,6.923527718E-1,1.474799365E-1
1.032942542E0,-7.328050733E-1,4.847128689E-1,8.332084864E-2
1.043013542E0,-7.458266020E-1,2.934691608E-1,2.620749362E-2
1.053084542E0,-8.042775989E-1,2.021968663E-1,7.136279717E-3
1.063155542E0,-8.749376535E-1,2.384981364E-1,3.302407265E-2
1.073226542E0,-9.095588326E-1,-1.149679050E-1,7.005539536E-2
1.083297542E0,-9.949157834E-1,4.167203605E-2,7.987393439E-2
1.093368542E0,-1.042771459E0,3.170625269E-1,7.689046860E-2
1.103440542E0,-1.058867812E0,8.108482361E-1,1.701298803E-1
1.113511542E0,-1.094336033E0,1.465491533E0,2.115038931E-1
1.123582542E0,-1.122253180E0,2.040309191E0,2.221876979E-1
1.133653542E0,-1.180622101E0,2.425873518E0,2.053070366E-1
1.143724542E0,-1.312933445E0,2.605206728E0,1.665476561E-1
1.153795542E0,-1.451918483E0,2.636529207E0,1.042868048E-1
1.163866542E0,-1.489067674E0,2.560303450E0,1.532462891E-3
1.173937542E0,-1.395532846E0,2.411792517E0,-1.626606286E-1
1.184008542E0,-1.168920398E0,2.265365362E0,-3.038925827E-1
1.194079542E0,-8.714330792E-1,2.172215223E0,-4.434208870E-1
1.204150542E0,-5.895435810E-1,2.210223198E0,-5.340940952E-1
1.214222542E0,-3.245837688E-1,2.398296356E0,-5.001605153E-1
1.224293542E0,-6.692827493E-2,2.636128187E0,-4.041312039E-1
1.234364542E0,1.002721712E-1,3.079822779E0,-4.237830639E-1
1.244435542E0,1.078954712E-1,3.438371181E0,-4.692924917E-1
1.254506542E0,-3.243729100E-2,3.637444258E0,-5.605521202E-1
1.264577542E0,-1.040731296E-1,3.882767677E0,-7.616439462E-1
1.274648542E0,-1.391029358E-1,3.906237841E0,-9.839515090E-1
1.284719542E0,-1.336522400E-1,3.686597824E0,-1.129771233E0
1.294790542E0,-9.559286386E-2,3.302145243E0,-1.239326239E0
1.304861542E0,-9.482454509E-2,2.954729080E0,-1.329451799E0
1.314933542E0,-2.412098348E-1,2.646718979E0,-1.373684168E0
1.325004542E0,-5.813825727E-1,2.307852983E0,-1.290020227E0
1.335075542E0,-9.633435011E-1,1.848869920E0,-1.145589113E0
1.345146542E0,-1.225811958E0,1.460491061E0,-9.954707026E-1
1.355217542E0,-1.328122258E0,1.146424055E0,-8.317624927E-1
1.365288542E0,-1.279775977E0,9.524759054E-1,-7.148635387E-1
1.375359542E0,-1.147747874E0,8.343150616E-1,-6.266310215E-1
1.385430542E0,-1.026284099E0,7.627314329E-1,-6.739511490E-1
1.395501542E0,-1.019887328E0,8.191956282E-1,-8.602527380E-1
1.405573542E0,-1.021298528E0,9.909362197E-1,-1.064078331E0
1.415644542E0,-9.128790498E-1,1.303000331E0,-1.231476188E0
1.425715542E0,-7.389573455E-1,1.676501989E0,-1.368976235E0
1.435786542E0,-5.342865586E-1,2.028014421E0,-1.490536571E0
1.445857542E0,-2.807089090E-1,2.352329254E0,-1.669726372E0
1.455928542E0,3.479170054E-2,2.643636703E0,-1.897829175E0
1.465999542E0,2.777897120E-1,2.818148851E0,-2.077469349E0
1.476070542E0,2.888630033E-1,2.791774988E0,-2.105049133E0
1.486141542E0,1.727678329E-1,2.556034327E0,-2.040363073E0
1.496213542E0,7.962533087E-2,2.158791542E0,-1.964261532E0
1.506284542E0,5.337695032E-2,1.689703584E0,-1.889645338E0
1.516355542E0,7.095213979E-2,1.265525937E0,-1.825977921E0
1.526426542E0,1.281350106E-1,9.929058552E-1,-1.759766459E0
1.536497542E0,1.889531314E-1,9.037321210E-1,-1.702560782E0
1.546568542E0,1.662251949E-1,8.617575169E-1,-1.709681749E0
1.556639542E0,8.731553331E-3,8.442834616E-1,-1.721945286E0
1.566710542E0,-1.432151049E-1,9.074667096E-1,-1.692621469E0
1.576782542E0,-1.432196945E-1,1.085275531E0,-1.652228117E0
1.586853542E0,8.858256042E-3,1.363959670E0,-1.634801149E0
1.596924542E0,2.396307886E-1,1.725290179E0,-1.645326495E0
1.606995542E0,4.622704983E-1,2.078895807E0,-1.695482373E0
1.617066542E0,5.734956264E-1,2.343582153E0,-1.767606139E0
1.627137542E0,6.160588264E-1,2.498768091E0,-1.838742137E0
1.637208542E0,6.530046463E-1,2.578709364E0,-1.881828904E0
1.647280542E0,6.734233499E-1,2.588188410E0,-1.867718697E0
1.657351542E0,6.727743149E-1,2.530153275E0,-1.823847294E0
1.667422542E0,6.645749807E-1,2.418984413E0,-1.771273136E0
1.677493542E0,6.587545872E-1,2.292133331E0,-1.753044963E0
1.687564542E0,6.051869392E-1,2.076327562E0,-1.742381096E0
1.697635542E0,5.126100779E-1,1.800340176E0,-1.711627007E0
1.707706542E0,4.055115879E-1,1.517406464E0,-1.676932931E0
1.717777542E0,2.859189212E-1,1.245139122E0,-1.648284316E0
1.727849542E0,1.547843367E-1,9.494917393E-1,-1.609332919E0
1.737920542E0,2.677918971E-2,6.696938276E-1,-1.534865618E0
1.747991542E0,-6.422342360E-2,4.429677129E-1,-1.428063512E0
1.758062542E0,-9.576834738E-2,3.400449455E-1,-1.302248240E0
1.768133542E0,-7.063131034E-2,3.885557353E-1,-1.172079325E0
1.778204542E0,-8.659984916E-3,5.186218023E-1,-1.065885305E0
1.788276542E0,3.301103041E-2,6.666128635E-1,-9.828684926E-1
1.798347542E0,3.183652833E-2,8.142867088E-1,-9.075566530E-1
1.808418542E0,8.567427285E-3,9.202567935E-1,-8.197764754E-1
1.818489542E0,-7.136492059E-3,1.005838871E0,-7.171631455E-1
1.828560542E0,-8.812685497E-3,1.055014133E0,-6.095826030E-1
1.838631542E0,-1.054701395E-3,1.037412405E0,-4.991954267E-1
1.848702542E0,-1.804381143E-3,9.789944291E-1,-4.048974216E-1
1.858774542E0,-2.431785129E-2,8.901036382E-1,-3.238807321E-1
1.868849750E0,-5.502356589E-2,7.885282636E-1,-2.555519938E-1
1.878920750E0,-8.332613111E-2,6.623113155E-1,-2.123333365E-1
1.888991750E0,-1.129426137E-1,5.369406343E-1,-2.090912014E-1
1.899062750E0,-1.593342274E-1,4.151314497E-1,-2.423724681E-1
1.909133750E0,-1.819473952E-1,3.048978746E-1,-2.844120562E-1
1.919205750E0,-1.570153683E-1,1.995385885E-1,-3.385789692E-1
1.929276750E0,-8.675239235E-2,1.685281992E-1,-3.838535249E-1
1.939347750E0,3.585036471E-2,2.354857475E-1,-3.774037957E-1
1.949418750E0,2.099031210E-1,3.860147893E-1,-3.118897676E-1
1.959489750E0,4.237067103E-1,6.873555779E-1,-2.152244002E-1
1.969560750E0,6.704456210E-1,9.884008765E-1,-9.892363101E-2
1.979632750E0,8.412575126E-1,1.215401530E0,4.072287679E-2
1.989703750E0,8.981551528E-1,1.369873166E0,1.765092015E-1
1.999774750E0,8.531953692E-1,1.347045183E0,2.729946077E-1
2.009845750E0,7.109615207E-1,1.171178818E0,3.378636241E-1
2.019916750E0,5.200363398E-1,9.063484073E-1,3.919098377E-1
2.029987750E0,3.070454895E-1,5.760152340E-1,4.458700120E-1
2.040059750E0,9.439979494E-2,2.341096699E-1,5.040621758E-1
2.050130750E0,-9.895821661E-2,-9.871461987E-2,5.887501836E-1
2.060201750E0,-2.667675912E-1,-4.051048160E-1,6.689562798E-1
2.070272750E0,-4.115341008E-1,-7.030017376E-1,7.389103770E-1
2.080343750E0,-5.421320200E-1,-1.015154243E0,8.253735900E-1
2.090414750E0,-6.643165350E-1,-1.301496267E0,9.341464043E-1
2.100486750E0,-7.605208755E-1,-1.545193791E0,1.046981573E0
2.110557750E0,-8.325788379E-1,-1.739961624E0,1.142082572E0
2.120628750E0,-8.922023773E-1,-1.885861993E0,1.222303033E0
2.130699750E0,-9.405851364E-1,-1.996933341E0,1.296134472E0
2.140770750E0,-9.682117105E-1,-2.079341650E0,1.349498749E0
2.150842750E0,-9.748446345E-1,-2.105324268E0,1.388134241E0
2.160913750E0,-9.428699613E-1,-2.101633787E0,1.394530177E0
2.170984750E0,-8.982947469E-1,-2.059141636E0,1.409837246E0
2.181055750E0,-8.228152990E-1,-1.955803514E0,1.418486595E0
2.191126750E0,-7.055445910E-1,-1.815996408E0,1.428359270E0
2.201197750E0,-5.358211994E-1,-1.658130169E0,1.431409001E0
2.211269750E0,-3.597556353E-1,-1.475190401E0,1.403687954E0
2.221340750E0,-1.961465031E-1,-1.291196942E0,1.348511934E0
2.231411750E0,-5.809941888E-2,-1.127232552E0,1.285569191E0
2.241482750E0,3.106965125E-2,-9.935248494E-1,1.221803069E0
2.251553750E0,7.611489296E-2,-9.060999751E-1,1.167692780E0
2.261625750E0,1.013828516E-1,-8.489427567E-1,1.133147955E0
2.271696750E0,1.256277412E-1,-8.086928129E-1,1.108401656E0
2.281767750E0,1.466273218E-1,-7.958636880E-1,1.071586251E0
2.291838750E0,1.450427473E-1,-8.274437189E-1,1.005741835E0
2.301909750E0,1.067126617E-1,-9.012987614E-1,9.499818087E-1
2.311981750E0,3.821349517E-2,-9.752054811E-1,9.208278656E-1
2.322052750E0,-3.318651021E-2,-1.048248053E0,9.268777966E-1
2.332123750E0,-9.223438054E-2,-1.119267464E0,9.229914546E-1
2.342194750E0,-1.810316592E-1,-1.220525026E0,9.021667242E-1
2.352265750E0,-2.755531073E-1,-1.299638152E0,8.612142801E-1
2.362337750E0,-3.695699573E-1,-1.374486446E0,7.990931273E-1
2.372408750E0,-5.075722933E-1,-1.472482204E0,7.257509828E-1
2.382479750E0,-6.802785397E-1,-1.614078522E0,6.692967415E-1
2.392550750E0,-8.809256554E-1,-1.832415938E0,6.472308636E-1
2.402621750E0,-1.098070145E0,-2.050483227E0,6.513331532E-1
2.412693750E0,-1.299026489E0,-2.246159315E0,6.549547911E-1
2.422764750E0,-1.455227852E0,-2.438777924E0,6.484578252E-1
2.432835750E0,-1.611017704E0,-2.646000862E0,6.432934403E-1
2.442906750E0,-1.778840661E0,-2.885982037E0,6.435390115E-1
2.452977750E0,-1.945350051E0,-3.082830191E0,6.618072391E-1
2.463049750E0,-2.060227394E0,-3.208396912E0,6.902324557E-1
2.473120750E0,-2.094379425E0,-3.271096706E0,7.072332501E-1
2.483191750E0,-2.099339724E0,-3.275260448E0,7.099787593E-1
2.493262750E0,-2.097153902E0,-3.218313694E0,7.160208821E-1
2.503333750E0,-2.103255749E0,-3.170105696E0,7.172915339E-1
2.513405750E0,-2.112158775E0,-3.135292530E0,7.138552666E-1
2.523476750E0,-2.123220921E0,-3.072675467E0,7.125878334E-1
2.533547750E0,-2.128234148E0,-2.988645554E0,7.244572639E-1
2.543618750E0,-2.104303837E0,-2.916387796E0,7.431439757E-1
2.553689750E0,-2.067557573E0,-2.869483948E0,7.633243203E-1
2.563761750E0,-2.036151886E0,-2.807244539E0,7.814713120E-1
2.573832750E0,-2.015581369E0,-2.728591204E0,7.918107510E-1
2.583903750E0,-2.009518862E0,-2.646631718E0,7.935491204E-1
2.593974750E0,-1.998080134E0,-2.534873724E0,7.806906104E-1
2.604046750E0,-1.983861089E0,-2.399642706E0,7.448322773E-1
2.614117750E0,-1.936867952E0,-2.228398561E0,6.970953941E-1
2.624188750E0,-1.837703824E0,-2.012335539E0,6.531613469E-1
2.634259750E0,-1.666335821E0,-1.778044820E0,6.103251576E-1
2.644330750E0,-1.453937769E0,-1.522521377E0,5.658664107E-1
2.654402750E0,-1.228242278E0,-1.261666417E0,4.952005446E-1
2.664473750E0,-1.010249138E0,-9.936564565E-1,4.005789757E-1
2.674544750E0,-8.381133676E-1,-7.598602176E-1,2.946898043E-1
2.684615750E0,-7.105445266E-1,-5.614511967E-1,2.052781433E-1
2.694686750E0,-6.120712161E-1,-4.144148827E-1,1.245087311E-1
2.704758750E0,-5.087590814E-1,-2.871176600E-1,4.093408585E-2
2.714829750E0,-3.968208134E-1,-1.496676654E-1,-4.735902324E-2
2.724900750E0,-2.790180445E-1,-8.184766397E-3,-1.165336967E-1
2.734971750E0,-1.847070009E-1,1.267349720E-1,-1.636751145E-1
2.745043750E0,-1.331505179E-1,2.330849171E-1,-1.825279295E-1
2.755114750E0,-1.483742297E-1,3.519540429E-1,-1.775398254E-1
2.765185750E0,-2.209701538E-1,4.947456121E-1,-1.378521621E-1
2.775256750E0,-3.116646409E-1,6.138547063E-1,-7.124277204E-2
2.785328750E0,-3.533695638E-1,6.649351716E-1,-1.461181697E-2
2.795399750E0,-3.387594521E-1,6.503008604E-1,2.539578639E-2
2.805470750E0,-2.807904482E-1,6.261197925E-1,4.245765135E-2
2.815541750E0,-2.090667039E-1,6.124380827E-1,6.846155226E-2
2.825612750E0,-1.520395726E-1,5.749586821E-1,1.107059568E-1
2.835684750E0,-1.238292307E-1,5.055958629E-1,1.573669314E-1
2.845755750E0,-1.196434572E-1,4.047856331E-1,2.090984136E-1
2.855826750E0,-1.621496230E-1,2.646681964E-1,2.736009657E-1
2.865897750E0,-2.402491271E-1,1.284482628E-1,3.417758942E-1
2.875965417E0,-3.295015097E-1,-2.731339540E-3,3.975078762E-1
2.886036417E0,-4.007107019E-1,-1.212388724E-1,4.261835515E-1
2.896107417E0,-4.480302632E-1,-2.259525061E-1,4.560940266E-1
2.906178417E0,-4.952501059E-1,-3.328005373E-1,5.029204488E-1
2.916250417E0,-5.549062490E-1,-4.388145804E-1,5.656160116E-1
2.926321417E0,-5.988529921E-1,-5.292620063E-1,6.227536201E-1
2.936392417E0,-5.877699852E-1,-6.114791036E-1,6.551405787E-1
2.946463417E0,-5.227193832E-1,-6.755488515E-1,6.693417430E-1
2.956535417E0,-4.334334135E-1,-6.770229340E-1,6.670189500E-1
2.966606417E0,-3.362438977E-1,-6.022723317E-1,6.478812695E-1
2.976677417E0,-2.583847940E-1,-5.188022256E-1,6.056494117E-1
2.986748417E0,-2.414332926E-1,-4.495414495E-1,5.551108122E-1
2.996820417E0,-2.548609674E-1,-3.408048749E-1,4.944237769E-1
3.006891417E0,-2.480689883E-1,-2.219350040E-1,4.389830232E-1
3.016962417E0,-2.060176879E-1,-9.108270705E-2,3.857815862E-1
3.027033417E0,-1.380221248E-1,3.402061760E-2,3.319756091E-1
3.037105417E0,-6.090816855E-2,1.623378396E-1,2.639339566E-1
3.047176417E0,1.424782164E-2,3.317098916E-1,1.811309010E-1
3.057247417E0,1.024708897E-1,5.541866422E-1,6.662642211E-2
3.067318417E0,1.778162718E-1,7.666511536E-1,-5.617000908E-2
3.077390417E0,1.349215358E-1,8.659511209E-1,-1.283113062E-1
3.087461417E0,-4.247711226E-2,8.962637186E-1,-1.657210886E-1
3.097532417E0,-2.891665399E-1,9.782741666E-1,-1.520920843E-1
3.107603417E0,-4.377183318E-1,1.028119564E0,-1.079526916E-1
3.117675417E0,-4.194967151E-1,9.951284528E-1,-5.781709030E-2
3.127746417E0,-2.718355060E-1,9.689587951E-1,-3.462715819E-2
3.137817417E0,-6.681099534E-2,1.033769846E0,-2.703182399E-2
3.147888417E0,1.483119577E-1,1.151469707E0,-3.118292056E-2
3.157960417E0,3.489718437E-1,1.322964787E0,-5.492367223E-2
3.168031417E0,5.084517002E-1,1.529160738E0,-9.383875877E-2
3.178102417E0,6.145107746E-1,1.783247232E0,-1.521460116E-1
3.188173417E0,6.729267240E-1,2.035823822E0,-2.287857383E-1
3.198245417E0,6.811625957E-1,2.260929346E0,-3.333829939E-1
3.208316417E0,6.079180241E-1,2.404417753E0,-4.437323809E-1
3.218387417E0,4.594196379E-1,2.457104683E0,-5.495603085E-1
3.228458417E0,2.873259783E-1,2.411084414E0,-6.749349833E-1
3.238530417E0,1.386361122E-1,2.316934824E0,-7.970582247E-1
3.248601417E0,6.085560471E-2,2.222602129E0,-8.985537887E-1
3.258672417E0,6.319598854E-2,2.200197220E0,-9.510508180E-1
