"Time (s)","X (hPa)"
3.345084836E2,1.014343491E3
3.354572726E2,1.014343796E3
3.364059366E2,1.014343796E3
3.373547336E2,1.014337997E3
3.383035216E2,1.014330902E3
3.392522916E2,1.014330673E3
3.402009166E2,1.014321976E3
3.411495596E2,1.014316788E3
3.420981516E2,1.014316788E3
3.430469356E2,1.014323959E3
3.439957246E2,1.014330063E3
3.449444156E2,1.014346008E3
3.458928246E2,1.014353333E3
3.468412206E2,1.014355545E3
3.477895106E2,1.014359512E3
3.487376216E2,1.014365387E3
3.496858006E2,1.014367447E3
3.506338746E2,1.014368210E3
3.515819136E2,1.014374084E3
3.525299466E2,1.014374313E3
3.534779496E2,1.014374084E3
3.544259276E2,1.014356308E3
3.553739316E2,1.014353256E3
3.563219866E2,1.014353256E3
3.572700186E2,1.014353256E3
3.582179266E2,1.014356384E3
3.591659506E2,1.014359818E3
3.601138616E2,1.014367828E3
3.610618416E2,1.014368744E3
3.620098396E2,1.014372330E3
3.629578096E2,1.014372330E3
3.639055246E2,1.014372330E3
3.648532116E2,1.014374542E3
3.658008946E2,1.014371262E3
3.667483966E2,1.014371262E3
3.676960236E2,1.014369049E3
3.686436096E2,1.014369049E3
3.695913406E2,1.014362946E3
3.705390306E2,1.014363403E3
3.714868626E2,1.014363403E3
3.724346156E2,1.014365768E3
3.733824496E2,1.014365768E3
3.743300946E2,1.014370193E3
3.752779416E2,1.014377747E3
3.762258526E2,1.014378967E3
3.771737816E2,1.014382477E3
3.781218266E2,1.014384537E3
3.790698166E2,1.014384537E3
3.800178126E2,1.014384537E3
3.809658706E2,1.014377975E3
3.819139936E2,1.014377975E3
3.828622466E2,1.014379120E3
3.838104866E2,1.014386139E3
3.847588256E2,1.014389191E3
3.857070006E2,1.014389191E3
3.866552646E2,1.014387283E3
3.876034626E2,1.014374771E3
3.885516986E2,1.014368820E3
3.894999696E2,1.014353790E3
3.904482156E2,1.014353790E3
3.913964286E2,1.014349289E3
3.923447216E2,1.014349289E3
3.932930216E2,1.014349289E3
3.942413066E2,1.014345703E3
3.951896276E2,1.014345703E3
3.961379706E2,1.014343948E3
3.970864106E2,1.014343338E3
3.980348666E2,1.014343338E3
3.989833216E2,1.014337387E3
3.999317966E2,1.014337387E3
4.008803256E2,1.014338379E3
4.018288096E2,1.014350967E3
4.027773016E2,1.014350967E3
4.037258256E2,1.014352493E3
4.046744406E2,1.014352493E3
4.056230716E2,1.014363251E3
4.065716056E2,1.014364853E3
4.075201026E2,1.014363403E3
4.084685366E2,1.014364853E3
4.094169076E2,1.014363403E3
4.103652516E2,1.014361801E3
4.113134676E2,1.014361191E3
4.122617176E2,1.014361801E3
4.132100446E2,1.014371872E3
4.141583236E2,1.014373245E3
4.151066056E2,1.014374924E3
4.160548876E2,1.014375839E3
4.170032886E2,1.014377365E3
4.179516236E2,1.014375992E3
4.188999486E2,1.014375992E3
4.198483016E2,1.014366913E3
4.207966496E2,1.014357529E3
4.217451326E2,1.014350204E3
4.226936836E2,1.014332275E3
4.236421796E2,1.014329071E3
4.245907586E2,1.014329071E3
4.255393266E2,1.014338837E3
4.264879496E2,1.014346085E3
4.274366326E2,1.014352417E3
4.283852626E2,1.014358749E3
4.293338786E2,1.014362793E3
4.302824436E2,1.014365997E3
4.312309456E2,1.014365997E3
4.321794686E2,1.014363022E3
4.331277936E2,1.014361649E3
4.340763516E2,1.014359665E3
4.350248726E2,1.014359665E3
4.359734876E2,1.014353790E3
4.369220666E2,1.014353790E3
4.378707536E2,1.014363480E3
4.388195406E2,1.014368820E3
4.397682606E2,1.014370651E3
4.407170016E2,1.014377060E3
4.416658536E2,1.014385376E3
4.426147266E2,1.014393692E3
4.435636726E2,1.014397888E3
4.445126386E2,1.014397888E3
4.454616386E2,1.014391098E3
4.464105516E2,1.014388351E3
4.473594916E2,1.014377136E3
4.483084506E2,1.014374084E3
4.492574126E2,1.014374084E3
4.502064136E2,1.014377518E3
4.511556666E2,1.014377518E3
4.521047566E2,1.014378433E3
4.530539596E2,1.014379120E3
4.540030186E2,1.014386902E3
4.549524506E2,1.014386902E3
4.559021946E2,1.014381027E3
4.568522566E2,1.014373856E3
4.578027446E2,1.014372482E3
4.587533836E2,1.014350967E3
4.597039726E2,1.014347610E3
4.606544916E2,1.014342728E3
4.616051366E2,1.014328918E3
4.625557776E2,1.014328308E3
4.635064336E2,1.014327927E3
4.644570626E2,1.014327927E3
4.654075906E2,1.014324951E3
4.663579136E2,1.014324951E3
4.673082296E2,1.014334412E3
4.682590676E2,1.014337234E3
4.692101126E2,1.014339676E3
4.701610326E2,1.014341125E3
4.711118816E2,1.014341125E3
4.720627796E2,1.014340591E3
4.730135986E2,1.014334793E3
4.739646006E2,1.014332428E3
4.749156316E2,1.014332428E3
4.758667706E2,1.014332428E3
4.768179956E2,1.014334259E3
4.777693956E2,1.014339447E3
4.787205696E2,1.014342728E3
4.796717866E2,1.014344482E3
4.806228696E2,1.014347839E3
4.815739006E2,1.014347839E3
4.825248756E2,1.014342728E3
4.834757196E2,1.014342728E3
4.844266286E2,1.014348450E3
4.853773636E2,1.014348450E3
4.863281486E2,1.014344788E3
4.872789926E2,1.014344788E3
4.882297156E2,1.014345703E3
4.891804526E2,1.014345703E3
4.901311606E2,1.014335861E3
4.910819236E2,1.014335861E3
4.920326786E2,1.014338150E3
4.929834306E2,1.014341354E3
4.939341836E2,1.014347458E3
4.948848966E2,1.014359283E3
4.958356036E2,1.014372787E3
4.967864406E2,1.014381409E3
