"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717757682755530E9,"2024-06-07 12:54:42.756 UTC+02:00"
"PAUSE",5.157603563750017E2,1.717758198511630E9,"2024-06-07 13:03:18.512 UTC+02:00"
