"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717757682047379E9,"2024-06-07 12:54:42.047 UTC+02:00"
"PAUSE",5.056180022916669E2,1.717758187665279E9,"2024-06-07 13:03:07.665 UTC+02:00"
