"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.680033542E0,4.771957397E-1,-1.302934647E0,-5.019343948E1
2.709849542E0,8.547210693E-1,-4.022350311E-1,-5.008321762E1
2.739666542E0,6.899261475E-1,4.754428864E-1,-4.985503006E1
2.769483542E0,6.598663330E-2,1.286230087E0,-4.991022873E1
2.799299542E0,-1.878967285E-1,2.075256348E0,-5.000885391E1
2.829116542E0,-8.590698242E-2,2.988030434E0,-4.980065536E1
2.858932542E0,3.785247803E-1,3.040639877E0,-4.995386887E1
2.888749542E0,1.244041443E0,3.033431053E0,-4.975464249E1
2.918566542E0,2.263839722E0,2.908217430E0,-4.953366470E1
2.948382542E0,2.832397461E0,3.503461838E0,-4.953060532E1
2.978199542E0,3.279190063E0,4.096276283E0,-4.958874893E1
3.008016542E0,3.315895081E0,4.882998466E0,-4.946895218E1
3.037832542E0,2.834083557E0,4.896326065E0,-4.948108292E1
3.067649542E0,2.423744202E0,5.080366135E0,-4.940118027E1
3.097465542E0,3.031066895E0,6.003822327E0,-4.925304031E1
3.127282542E0,2.867210388E0,6.515254974E0,-4.911571884E1
3.157099542E0,1.597969055E0,6.959890366E0,-4.919293594E1
3.186915542E0,6.612777710E-1,7.367033005E0,-4.894830704E1
3.216732542E0,1.628723145E-1,8.121054649E0,-4.900697708E1
3.246549542E0,5.087585449E-1,9.126243591E0,-4.858794785E1
3.276365542E0,6.590042114E-1,9.984140396E0,-4.876962662E1
3.306182542E0,3.949661255E-1,1.067235184E1,-4.850172806E1
3.335998542E0,-1.505050659E-1,1.168635178E1,-4.831145859E1
3.365815542E0,-5.284042358E-1,1.285107803E1,-4.793410110E1
3.395632542E0,-6.475067139E-1,1.369687939E1,-4.723386002E1
3.425448542E0,-9.350967407E-1,1.408501530E1,-4.737096024E1
3.455265542E0,-8.463211060E-1,1.487550259E1,-4.708665085E1
3.485081542E0,-3.442764282E-1,1.522566509E1,-4.721771622E1
3.514898542E0,-3.695983887E-1,1.548827744E1,-4.683703995E1
3.544715625E0,3.041992188E-1,1.608071899E1,-4.672446060E1
3.574531625E0,1.272323608E0,1.704654884E1,-4.654460526E1
3.604348625E0,1.769172668E0,1.774531555E1,-4.629047012E1
3.634165625E0,2.384620667E0,1.842414093E1,-4.592303085E1
3.663981625E0,3.262748718E0,1.877760887E1,-4.556500626E1
3.693798625E0,4.228355408E0,1.975367355E1,-4.517358017E1
3.723614625E0,5.082534790E0,2.054465294E1,-4.493143845E1
3.753431625E0,6.213653564E0,2.132167053E1,-4.438531876E1
3.783248625E0,6.822433472E0,2.192604256E1,-4.405447006E1
3.813064625E0,7.141960144E0,2.206807327E1,-4.399443436E1
3.842881625E0,7.322433472E0,2.201886940E1,-4.362053299E1
3.872697625E0,6.948539734E0,2.236694336E1,-4.352869034E1
3.902514625E0,7.015838623E0,2.305645370E1,-4.336546707E1
