"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718306999690493E9,"2024-06-13 21:29:59.690 UTC+02:00"
"PAUSE",5.330202945416677E2,1.718307532695306E9,"2024-06-13 21:38:52.695 UTC+02:00"
