"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718307001658303E9,"2024-06-13 21:30:01.658 UTC+02:00"
"PAUSE",5.392246259166714E2,1.718307540879507E9,"2024-06-13 21:39:00.880 UTC+02:00"
