"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717757682292381E9,"2024-06-07 12:54:42.292 UTC+02:00"
"PAUSE",4.785882979168673E1,1.717757730149830E9,"2024-06-07 12:55:30.150 UTC+02:00"
"START",4.785882979168673E1,1.717757730804165E9,"2024-06-07 12:55:30.804 UTC+02:00"
"PAUSE",5.000474646666844E2,1.717758182978358E9,"2024-06-07 13:03:02.978 UTC+02:00"
