"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717757681426074E9,"2024-06-07 12:54:41.426 UTC+02:00"
"PAUSE",5.292288598750020E2,1.717758210633434E9,"2024-06-07 13:03:30.633 UTC+02:00"
