"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.574274402E2,5.233483325E1,4.863933397E0,4.725309432E0,NaN,NaN,3.933333333E1,1.949057007E1
1.580504192E2,5.233488650E1,4.863935307E0,4.741921484E0,NaN,NaN,3.500000000E1,1.691888809E1
1.640543712E2,5.233483096E1,4.863932894E0,4.757179320E0,NaN,NaN,3.933333333E1,1.960207176E1
1.645066012E2,5.233482716E1,4.863932413E0,4.763612032E0,NaN,NaN,3.933333333E1,1.682790947E1
1.661756422E2,5.233482101E1,4.863931943E0,4.767848074E0,NaN,NaN,3.933333333E1,1.649520111E1
1.721842982E2,5.233481857E1,4.863931693E0,4.780982256E0,NaN,NaN,3.933333333E1,1.948461914E1
1.728062632E2,5.233488441E1,4.863929610E0,4.778472900E0,NaN,NaN,3.500000000E1,1.691480637E1
1.788139453E2,5.233484556E1,4.863931031E0,4.776232481E0,NaN,NaN,3.933333333E1,1.960291481E1
1.792668172E2,5.233488341E1,4.863916363E0,4.774370849E0,NaN,NaN,3.500000000E1,1.682894516E1
1.809251592E2,5.233489699E1,4.863910552E0,4.773157775E0,NaN,NaN,3.500000000E1,1.648560333E1
1.869340242E2,5.233484792E1,4.863923341E0,4.772005677E0,NaN,NaN,3.933333333E1,1.948201752E1
1.873841362E2,5.233487858E1,4.863915377E0,4.759246349E0,NaN,NaN,3.500000000E1,1.676014709E1
1.890560972E2,5.233488864E1,4.863912461E0,4.750791669E0,NaN,NaN,3.500000000E1,1.646429825E1
1.950606012E2,5.233484196E1,4.863926046E0,4.742549241E0,NaN,NaN,3.933333333E1,1.947358894E1
1.956890403E2,5.233488666E1,4.863913250E0,4.743959308E0,NaN,NaN,3.500000000E1,1.691459656E1
1.973568493E2,5.233488751E1,4.863913182E0,4.738842487E0,NaN,NaN,3.500000000E1,1.653704834E1
2.033616322E2,5.233484073E1,4.863927256E0,4.740863860E0,NaN,NaN,3.933333333E1,1.949434090E1
2.039759802E2,5.233489639E1,4.863927929E0,4.737118781E0,NaN,NaN,3.500000000E1,1.691331291E1
2.099822663E2,5.233484323E1,4.863934225E0,4.733753145E0,NaN,NaN,3.933333333E1,1.960174370E1
2.103796593E2,5.233490101E1,4.863930799E0,4.746246099E0,NaN,NaN,3.500000000E1,1.677854538E1
2.163876552E2,5.233484297E1,4.863934400E0,4.757985353E0,NaN,NaN,3.933333333E1,1.956448174E1
2.170182182E2,5.233488763E1,4.863935495E0,4.764745951E0,NaN,NaN,3.500000000E1,1.696505165E1
2.230258452E2,5.233483605E1,4.863935432E0,4.770945728E0,NaN,NaN,3.933333333E1,1.961712265E1
2.234773153E2,5.233487560E1,4.863919196E0,4.769690573E0,NaN,NaN,3.500000000E1,1.683546448E1
2.249157042E2,5.233488866E1,4.863912994E0,4.768901408E0,NaN,NaN,3.500000000E1,1.627727890E1
2.309244352E2,5.233483834E1,4.863924539E0,4.768131435E0,NaN,NaN,3.933333333E1,1.942301750E1
2.313788902E2,5.233490015E1,4.863926871E0,4.769030035E0,NaN,NaN,3.500000000E1,1.673159981E1
2.373865602E2,5.233484257E1,4.863932207E0,4.769949377E0,NaN,NaN,3.933333333E1,1.955100822E1
2.380286432E2,5.233489252E1,4.863930276E0,4.770045817E0,NaN,NaN,3.500000000E1,1.696791649E1
2.440358733E2,5.233483826E1,4.863933282E0,4.770191789E0,NaN,NaN,3.933333333E1,1.961772156E1
2.446606322E2,5.233489671E1,4.863930517E0,4.768606782E0,NaN,NaN,3.500000000E1,1.698838425E1
2.506678892E2,5.233484016E1,4.863932807E0,4.767235518E0,NaN,NaN,3.933333333E1,1.962353706E1
