"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.483093951E2,5.233491178E1,4.863906351E0,4.607014477E0,NaN,NaN,3.500000000E1,1.942907524E1
1.487246910E2,5.233491402E1,4.863905666E0,4.622166634E0,NaN,NaN,3.500000000E1,1.669930267E1
1.502979960E2,5.233490395E1,4.863908742E0,4.632185340E0,NaN,NaN,3.500000000E1,1.633918762E1
1.563081120E2,5.233490318E1,4.863908981E0,4.653102100E0,NaN,NaN,3.500000000E1,1.944128990E1
1.569115490E2,5.233490458E1,4.863908554E0,4.662244856E0,NaN,NaN,3.500000000E1,1.687517166E1
1.583273361E2,5.233490707E1,4.863907793E0,4.668054700E0,NaN,NaN,3.500000000E1,1.627562714E1
1.643369241E2,5.233491520E1,4.863905312E0,4.665233552E0,NaN,NaN,3.500000000E1,1.942302895E1
1.649176021E2,5.233491843E1,4.863904326E0,4.661631227E0,NaN,NaN,3.500000000E1,1.684510040E1
1.710193170E2,5.233490689E1,4.863907852E0,4.661503613E0,NaN,NaN,3.500000000E1,1.963351440E1
1.716782160E2,5.233491869E1,4.863919954E0,4.682048202E0,NaN,NaN,3.500000000E1,1.702635765E1
1.776867980E2,5.233491089E1,4.863911512E0,4.680285394E0,NaN,NaN,3.500000000E1,1.963500404E1
1.782772601E2,5.233491037E1,4.863908664E0,4.699810743E0,NaN,NaN,3.500000000E1,1.696775055E1
1.842827530E2,5.233485987E1,4.863921201E0,4.717586696E0,NaN,NaN,3.933333333E1,1.961674690E1
1.902934560E2,5.233491806E1,4.863903330E0,4.698627293E0,NaN,NaN,3.500000000E1,2.036725998E1
1.909809740E2,5.233490902E1,4.863906641E0,4.657887936E0,NaN,NaN,3.500000000E1,1.743265152E1
1.925092961E2,5.233490816E1,4.863907046E0,4.633217931E0,NaN,NaN,3.500000000E1,1.666558075E1
1.985195960E2,5.233491364E1,4.863905228E0,4.655335069E0,NaN,NaN,3.500000000E1,1.953374100E1
1.989840400E2,5.233491476E1,4.863905182E0,4.657928586E0,NaN,NaN,3.500000000E1,1.680143929E1
2.005082140E2,5.233490403E1,4.863908535E0,4.659623027E0,NaN,NaN,3.500000000E1,1.634338188E1
2.065189410E2,5.233491118E1,4.863914155E0,4.656155884E0,NaN,NaN,3.500000000E1,1.944281578E1
2.068697760E2,5.233491284E1,4.863915440E0,4.654679418E0,NaN,NaN,3.500000000E1,1.664786339E1
2.128762300E2,5.233491190E1,4.863909986E0,4.666971028E0,NaN,NaN,3.500000000E1,1.952663231E1
2.132626860E2,5.233491132E1,4.863908018E0,4.683487535E0,NaN,NaN,3.500000000E1,1.672711372E1
