"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.494967691E2,5.233485769E1,4.863905357E0,4.231546238E0,NaN,NaN,3.800000000E1,1.949619102E1
1.500767601E2,5.233486173E1,4.863904910E0,4.231188059E0,NaN,NaN,3.800000000E1,1.688398552E1
1.518799931E2,5.233486945E1,4.863904056E0,4.230948836E0,NaN,NaN,3.800000000E1,1.664785385E1
1.578882000E2,5.233492246E1,4.863898188E0,4.236830428E0,NaN,NaN,3.800000000E1,1.952758408E1
1.584548930E2,5.233488291E1,4.863902564E0,4.240361765E0,NaN,NaN,3.800000000E1,1.688915443E1
1.601016390E2,5.233487009E1,4.863903984E0,4.242636591E0,NaN,NaN,3.800000000E1,1.650460815E1
1.665548171E2,5.233487513E1,4.863903424E0,4.241325453E0,NaN,NaN,3.800000000E1,1.972535706E1
1.676339051E2,5.233484414E1,4.863906852E0,4.239683449E0,NaN,NaN,3.800000000E1,1.742415237E1
1.736374611E2,5.233484598E1,4.863906654E0,4.238879204E0,NaN,NaN,3.800000000E1,1.974510956E1
1.742120171E2,5.233484909E1,4.863906310E0,4.237889066E0,NaN,NaN,3.800000000E1,1.701280022E1
1.758842601E2,5.233485443E1,4.863905721E0,4.237246513E0,NaN,NaN,3.800000000E1,1.658979416E1
1.818924720E2,5.233487475E1,4.863903471E0,4.236023754E0,NaN,NaN,3.800000000E1,1.951114845E1
1.823233250E2,5.233488210E1,4.863902655E0,4.232215315E0,NaN,NaN,3.800000000E1,1.675878143E1
1.839956651E2,5.233486000E1,4.863905098E0,4.229708314E0,NaN,NaN,3.800000000E1,1.646397781E1
1.900049211E2,5.233486272E1,4.863904801E0,4.234871238E0,NaN,NaN,3.800000000E1,1.947611427E1
1.904353280E2,5.233486447E1,4.863904607E0,4.237563640E0,NaN,NaN,3.800000000E1,1.673905945E1
1.922620350E2,5.233486986E1,4.863904012E0,4.239385724E0,NaN,NaN,3.800000000E1,1.659917450E1
1.982675331E2,5.233485412E1,4.863905752E0,4.241147786E0,NaN,NaN,3.800000000E1,1.951232338E1
1.986946640E2,5.233484784E1,4.863906446E0,4.243801966E0,NaN,NaN,3.800000000E1,1.675606537E1
2.003910590E2,5.233484905E1,4.863906313E0,4.245569631E0,NaN,NaN,3.800000000E1,1.648542213E1
2.064013031E2,5.233486547E1,4.863904496E0,4.243579522E0,NaN,NaN,3.800000000E1,1.948272324E1
2.068167731E2,5.233487344E1,4.863903613E0,4.243985310E0,NaN,NaN,3.800000000E1,1.672915840E1
2.084895691E2,5.233485079E1,4.863906118E0,4.244274735E0,NaN,NaN,3.800000000E1,1.644968224E1
2.144921030E2,5.233485178E1,4.863906013E0,4.246366709E0,NaN,NaN,3.800000000E1,1.946836662E1
2.149049560E2,5.233485456E1,4.863905704E0,4.247384414E0,NaN,NaN,3.800000000E1,1.671883583E1
2.165884430E2,5.233486037E1,4.863905061E0,4.248062789E0,NaN,NaN,3.800000000E1,1.645471954E1
2.225925601E2,5.233487901E1,4.863902999E0,4.247123316E0,NaN,NaN,3.800000000E1,1.947066498E1
2.231625670E2,5.233486115E1,4.863904974E0,4.246000350E0,NaN,NaN,3.800000000E1,1.686135674E1
2.248105910E2,5.233485514E1,4.863905638E0,4.245255426E0,NaN,NaN,3.800000000E1,1.649197960E1
2.308165020E2,5.233486621E1,4.863904412E0,4.247484252E0,NaN,NaN,3.800000000E1,1.948220062E1
2.312474320E2,5.233487073E1,4.863903914E0,4.246248111E0,NaN,NaN,3.800000000E1,1.674289322E1
2.329685980E2,5.233484730E1,4.863906505E0,4.245442897E0,NaN,NaN,3.800000000E1,1.650230789E1
2.389763731E2,5.233484448E1,4.863906817E0,4.243512586E0,NaN,NaN,3.800000000E1,1.948614502E1
2.393893090E2,5.233484755E1,4.863906481E0,4.244728625E0,NaN,NaN,3.800000000E1,1.672874832E1
2.410675720E2,5.233485498E1,4.863905661E0,4.245535493E0,NaN,NaN,3.800000000E1,1.645467758E1
2.470824400E2,5.233488010E1,4.863902880E0,4.244683251E0,NaN,NaN,3.800000000E1,1.947656822E1
2.477431290E2,5.233488628E1,4.863902197E0,4.243811026E0,NaN,NaN,3.800000000E1,1.694450378E1
2.494236070E2,5.233486326E1,4.863904743E0,4.243265003E0,NaN,NaN,3.800000000E1,1.656370735E1
