"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.558941640E2,5.233490838E1,4.863905621E0,4.662531912E0,NaN,NaN,3.500000000E1,1.948310280E1
1.563760930E2,5.233491223E1,4.863905292E0,4.669898152E0,NaN,NaN,3.500000000E1,1.678941727E1
1.579820180E2,5.233490163E1,4.863908762E0,4.679328680E0,NaN,NaN,3.500000000E1,1.641599274E1
1.639919831E2,5.233490172E1,4.863908607E0,4.692393541E0,NaN,NaN,3.500000000E1,1.946292877E1
1.673400019E2,5.233490301E1,4.863908443E0,4.699535966E0,NaN,NaN,3.500000000E1,1.890758705E1
1.733475410E2,5.233489910E1,4.863909789E0,4.723315835E0,NaN,NaN,3.500000000E1,2.016662979E1
1.738712480E2,5.233489896E1,4.863909994E0,4.732790172E0,NaN,NaN,3.500000000E1,1.719352150E1
1.755684220E2,5.233490107E1,4.863909401E0,4.738793731E0,NaN,NaN,3.500000000E1,1.670170403E1
1.815776660E2,5.233490926E1,4.863906891E0,4.751593888E0,NaN,NaN,3.500000000E1,1.954339600E1
1.821780421E2,5.233491348E1,4.863905626E0,4.752959073E0,NaN,NaN,3.500000000E1,1.692733955E1
1.837826390E2,5.233490089E1,4.863909493E0,4.753851593E0,NaN,NaN,3.500000000E1,1.648385620E1
1.897922860E2,5.233490030E1,4.863909686E0,4.756317794E0,NaN,NaN,3.500000000E1,1.948195267E1
1.902781301E2,5.233490526E1,4.863908176E0,4.724312186E0,NaN,NaN,3.500000000E1,1.679230690E1
1.918824230E2,5.233490941E1,4.863906901E0,4.703314960E0,NaN,NaN,3.500000000E1,1.641588020E1
1.978920220E2,5.233490239E1,4.863909066E0,4.696733892E0,NaN,NaN,3.500000000E1,1.946269608E1
1.984906009E2,5.233490030E1,4.863909711E0,4.696616352E0,NaN,NaN,3.500000000E1,1.688239098E1
2.001680080E2,5.233490081E1,4.863909556E0,4.696539342E0,NaN,NaN,3.500000000E1,1.653009796E1
2.061766300E2,5.233490818E1,4.863907290E0,4.707637191E0,NaN,NaN,3.500000000E1,1.949447632E1
2.067746230E2,5.233491216E1,4.863906066E0,4.714356780E0,NaN,NaN,3.500000000E1,1.689896965E1
2.083826340E2,5.233490087E1,4.863909538E0,4.718725860E0,NaN,NaN,3.500000000E1,1.647289085E1
2.143902390E2,5.233490156E1,4.863909328E0,4.725096583E0,NaN,NaN,3.500000000E1,1.947772598E1
2.149888190E2,5.233490363E1,4.863908690E0,4.727869511E0,NaN,NaN,3.500000000E1,1.689048004E1
2.166662560E2,5.233490552E1,4.863908124E0,4.729684353E0,NaN,NaN,3.500000000E1,1.653413200E1
2.226756721E2,5.233491428E1,4.863905420E0,4.747606993E0,NaN,NaN,3.500000000E1,1.949605370E1
2.232746910E2,5.233491336E1,4.863913978E0,4.741774857E0,NaN,NaN,3.500000000E1,1.690072441E1
2.292823300E2,5.233490483E1,4.863910877E0,4.745065272E0,NaN,NaN,3.500000000E1,1.959890175E1
2.298769120E2,5.233490488E1,4.863909288E0,4.732560575E0,NaN,NaN,3.500000000E1,1.695201683E1
2.314823900E2,5.233490664E1,4.863907904E0,4.724499404E0,NaN,NaN,3.500000000E1,1.649703407E1
2.374921420E2,5.233491332E1,4.863905093E0,4.742549300E0,NaN,NaN,3.500000000E1,1.948573875E1
2.380884449E2,5.233490494E1,4.863907967E0,4.730714917E0,NaN,NaN,3.500000000E1,1.689277840E1
2.397648430E2,5.233490120E1,4.863909148E0,4.722969770E0,NaN,NaN,3.500000000E1,1.653429413E1
2.457740560E2,5.233489975E1,4.863909445E0,4.706594944E0,NaN,NaN,3.500000000E1,1.949598694E1
2.493094070E2,5.233491021E1,4.863915773E0,4.706036568E0,NaN,NaN,3.500000000E1,1.903361511E1
2.553146900E2,5.233491902E1,4.863918801E0,4.720617533E0,NaN,NaN,3.500000000E1,2.020104408E1
2.554282750E2,5.233492065E1,4.863919066E0,4.726167679E0,NaN,NaN,3.500000000E1,1.685808754E1
2.614360020E2,5.233493252E1,4.863924759E0,4.712651014E0,NaN,NaN,3.500000000E1,1.958687019E1
2.614401660E2,5.233493403E1,4.863925591E0,4.707214296E0,NaN,NaN,3.500000000E1,1.640474510E1
2.674482720E2,5.233492398E1,4.863911844E0,4.708007157E0,NaN,NaN,3.500000000E1,1.945872116E1
2.680907069E2,5.233490862E1,4.863910919E0,4.718571782E0,NaN,NaN,3.500000000E1,1.691895294E1
2.697630340E2,5.233490133E1,4.863910387E0,4.725457489E0,NaN,NaN,3.500000000E1,1.654344177E1
2.757700011E2,5.233492079E1,4.863919520E0,4.710993826E0,NaN,NaN,3.500000000E1,1.949734688E1
2.760576510E2,5.233492670E1,4.863922410E0,4.704927981E0,NaN,NaN,3.500000000E1,1.662017632E1
2.820660160E2,5.233492149E1,4.863910590E0,4.704141557E0,NaN,NaN,3.500000000E1,1.951983452E1
2.824466670E2,5.233491982E1,4.863906734E0,4.693548143E0,NaN,NaN,3.500000000E1,1.671806526E1
2.841595460E2,5.233490599E1,4.863908742E0,4.686456740E0,NaN,NaN,3.500000000E1,1.648221397E1
2.901669290E2,5.233491437E1,4.863915690E0,4.718424678E0,NaN,NaN,3.500000000E1,1.948024368E1
2.903530639E2,5.233491718E1,4.863917958E0,4.731717646E0,NaN,NaN,3.500000000E1,1.651575279E1
2.963607280E2,5.233491432E1,4.863910040E0,4.727942586E0,NaN,NaN,3.500000000E1,1.948989105E1
2.968904099E2,5.233491508E1,4.863907023E0,4.712264240E0,NaN,NaN,3.500000000E1,1.683588219E1
2.985631620E2,5.233490254E1,4.863909458E0,4.701954782E0,NaN,NaN,3.500000000E1,1.650266075E1
3.045727930E2,5.233491370E1,4.863917771E0,4.713335574E0,NaN,NaN,3.500000000E1,1.948726463E1
3.047185971E2,5.233491706E1,4.863920013E0,4.718044639E0,NaN,NaN,3.500000000E1,1.648172569E1
3.107248200E2,5.233491169E1,4.863911898E0,4.702637911E0,NaN,NaN,3.500000000E1,1.947946739E1
3.112908250E2,5.233492584E1,4.863920618E0,4.669762433E0,NaN,NaN,3.500000000E1,1.686256218E1
3.172987940E2,5.233493290E1,4.863921626E0,4.661370337E0,NaN,NaN,3.500000000E1,1.958826828E1
3.174127001E2,5.233493239E1,4.863919463E0,4.657954156E0,NaN,NaN,3.500000000E1,1.650983429E1
3.234210240E2,5.233490425E1,4.863910753E0,4.660030961E0,NaN,NaN,3.500000000E1,1.948857880E1
3.238898280E2,5.233490063E1,4.863909972E0,4.672072709E0,NaN,NaN,3.500000000E1,1.678060722E1
3.255625300E2,5.233489939E1,4.863908448E0,4.680048406E0,NaN,NaN,3.500000000E1,1.647516823E1
3.315727800E2,5.233493159E1,4.863924846E0,4.662435293E0,NaN,NaN,3.500000000E1,1.947982597E1
3.315771410E2,5.233493417E1,4.863926054E0,4.654894412E0,NaN,NaN,3.500000000E1,1.634197807E1
