"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.383117917E0,-2.322922516E1,2.533713341E1,-2.813961792E1
1.398133917E0,-2.337360191E1,2.478984070E1,-2.851286316E1
1.413150917E0,-2.349284744E1,2.436310005E1,-2.855294800E1
1.428167917E0,-2.426466560E1,2.369905090E1,-2.858517456E1
1.443184917E0,-2.451530838E1,2.333111572E1,-2.862888336E1
1.458200917E0,-2.527625465E1,2.258292580E1,-2.830480957E1
1.473217917E0,-2.573584747E1,2.221897888E1,-2.807585907E1
1.488234917E0,-2.660319519E1,2.152756119E1,-2.790952301E1
1.503250917E0,-2.671224976E1,2.121283722E1,-2.807456970E1
1.518267917E0,-2.647268677E1,2.075842285E1,-2.820457458E1
1.533284917E0,-2.649709702E1,2.062949181E1,-2.843875885E1
1.548300917E0,-2.616987419E1,2.059731674E1,-2.850519562E1
1.563317917E0,-2.585161972E1,2.060081291E1,-2.867040253E1
1.578334917E0,-2.594181442E1,2.053160477E1,-2.853277588E1
1.593350917E0,-2.613601303E1,2.030595016E1,-2.849018097E1
1.608367917E0,-2.649358368E1,2.027407646E1,-2.825409698E1
1.623384917E0,-2.710464478E1,2.010950470E1,-2.766425323E1
1.638401917E0,-2.750300598E1,2.014183044E1,-2.750254822E1
1.653417917E0,-2.816193771E1,1.993175316E1,-2.723661804E1
1.668434917E0,-2.840029526E1,1.973550034E1,-2.701083374E1
1.683451917E0,-2.826381302E1,1.980022430E1,-2.701818848E1
1.698467917E0,-2.825285339E1,1.988562393E1,-2.723598480E1
1.713484917E0,-2.822210503E1,1.980128288E1,-2.738580322E1
1.728501917E0,-2.815399361E1,1.983627892E1,-2.725617218E1
1.743517917E0,-2.838840485E1,1.975951195E1,-2.701958466E1
1.758534917E0,-2.910742378E1,2.002086639E1,-2.631069183E1
1.773551917E0,-2.936461639E1,2.017532158E1,-2.590490723E1
1.788567917E0,-2.967169189E1,2.071550751E1,-2.526522827E1
1.803584917E0,-2.975876045E1,2.093588448E1,-2.519399261E1
1.818601917E0,-2.943410873E1,2.156146049E1,-2.535049438E1
1.833618917E0,-2.905775261E1,2.158157921E1,-2.565615082E1
1.848634917E0,-2.841809273E1,2.145505524E1,-2.626515961E1
1.863651917E0,-2.777455139E1,2.141115570E1,-2.669939423E1
1.878668917E0,-2.652096558E1,2.165414619E1,-2.786972046E1
1.893684917E0,-2.576898766E1,2.176134872E1,-2.828359985E1
1.908701917E0,-2.465705872E1,2.227962494E1,-2.903652954E1
1.923718917E0,-2.429366875E1,2.234919739E1,-2.953668213E1
1.938734917E0,-2.426189613E1,2.244005013E1,-2.954928589E1
1.953751917E0,-2.445675087E1,2.225084305E1,-2.925335693E1
1.968768917E0,-2.459570694E1,2.207350922E1,-2.907659149E1
1.983784917E0,-2.489421272E1,2.155211067E1,-2.913959503E1
1.998801917E0,-2.485170746E1,2.136645889E1,-2.928630066E1
2.013818917E0,-2.492544365E1,2.066488266E1,-2.980975342E1
2.028835917E0,-2.513675880E1,2.014860153E1,-2.987506104E1
2.043851917E0,-2.500974083E1,1.901930618E1,-3.037139893E1
2.058868917E0,-2.488647652E1,1.865957642E1,-3.064048767E1
2.073885917E0,-2.408615685E1,1.774621201E1,-3.158984375E1
2.088901917E0,-2.361111259E1,1.735253906E1,-3.210577393E1
2.103918917E0,-2.255442429E1,1.642254448E1,-3.301591492E1
2.118935917E0,-2.208818626E1,1.593478489E1,-3.329051208E1
2.133951917E0,-2.120595169E1,1.498438072E1,-3.409114075E1
2.148968917E0,-2.077520752E1,1.483686733E1,-3.443299866E1
2.163985917E0,-1.999438858E1,1.454258251E1,-3.465861511E1
2.179002167E0,-1.784424400E1,1.443715858E1,-3.630197144E1
2.194018167E0,-1.668577194E1,1.440786266E1,-3.667337036E1
2.209035167E0,-1.347235489E1,1.502136612E1,-3.735231018E1
2.224052167E0,-1.186391640E1,1.534623337E1,-3.790464783E1
2.239068167E0,-9.751035690E0,1.510868645E1,-3.822665405E1
2.254085167E0,-9.315929413E0,1.477186203E1,-3.822703552E1
2.269102167E0,-8.776863098E0,1.434843159E1,-3.854553223E1
2.284118167E0,-8.584281921E0,1.408975601E1,-3.862864685E1
2.299135167E0,-7.899860382E0,1.375722408E1,-3.866081238E1
2.314152167E0,-7.489376068E0,1.373351955E1,-3.885807800E1
2.329169167E0,-6.365493774E0,1.365317154E1,-3.881367493E1
2.344185167E0,-5.855098724E0,1.362785339E1,-3.909265137E1
2.359202167E0,-5.339542389E0,1.376375580E1,-3.891644287E1
2.374219167E0,-4.682621002E0,1.374518776E1,-3.903340149E1
2.389235167E0,-4.520366669E0,1.375933838E1,-3.904850769E1
2.404252167E0,-5.242351532E0,1.344653988E1,-3.908854675E1
2.419269167E0,-5.858825684E0,1.316956234E1,-3.904158020E1
2.434285167E0,-7.008945465E0,1.266143990E1,-3.898370361E1
2.449302167E0,-7.483497620E0,1.253218079E1,-3.869200134E1
2.464319167E0,-8.051952362E0,1.199248028E1,-3.874169922E1
2.479335167E0,-8.273651123E0,1.168079185E1,-3.858775330E1
2.494352167E0,-8.231903076E0,1.120292568E1,-3.863409424E1
2.509369167E0,-8.187389374E0,1.109297943E1,-3.874192810E1
2.524386167E0,-7.881446838E0,1.108539486E1,-3.888175964E1
2.539402167E0,-8.256900787E0,1.110361862E1,-3.900416565E1
2.554419167E0,-8.626308441E0,1.102536297E1,-3.905780029E1
2.569436167E0,-9.156440735E0,1.101186466E1,-3.928332520E1
2.584452167E0,-9.188999176E0,1.080906010E1,-3.912336731E1
2.599469167E0,-8.229347229E0,1.077172565E1,-3.946250916E1
2.614486167E0,-7.487689972E0,1.092333889E1,-3.951084900E1
2.629502167E0,-5.799869537E0,1.121463966E1,-3.974510193E1
2.644519167E0,-4.837985992E0,1.143670654E1,-3.983903503E1
2.659536167E0,-3.782665253E0,1.189059639E1,-3.977056885E1
2.674553167E0,-3.350627899E0,1.207120991E1,-3.961241150E1
2.689569167E0,-2.781288147E0,1.185498238E1,-3.985083008E1
2.704586167E0,-2.715221405E0,1.169388199E1,-3.958569336E1
2.719603167E0,-3.253612518E0,1.118009949E1,-3.987594604E1
2.734619167E0,-3.769660950E0,1.096473694E1,-3.979147339E1
2.749636167E0,-4.228992462E0,1.070625591E1,-3.959558105E1
2.764653167E0,-4.924320221E0,1.054838085E1,-4.006156921E1
2.779669167E0,-5.208866119E0,1.051313496E1,-4.013668823E1
2.794686167E0,-5.249713898E0,1.055270386E1,-4.019099426E1
2.809703167E0,-5.363151550E0,1.064627457E1,-4.020578003E1
2.824720167E0,-5.490428925E0,1.076459789E1,-4.003410339E1
2.839736167E0,-5.318672180E0,1.081085110E1,-3.999671936E1
2.854753167E0,-4.874076843E0,1.075565147E1,-4.008901978E1
2.869770167E0,-4.759796143E0,1.099588490E1,-4.024356079E1
2.884786167E0,-4.094993591E0,1.156637669E1,-3.989138794E1
2.899803167E0,-3.570945740E0,1.182888222E1,-3.981375122E1
2.914820167E0,-2.875946045E0,1.221528435E1,-3.982020569E1
2.929836167E0,-2.845710754E0,1.223764038E1,-3.971916199E1
2.944853167E0,-3.123455048E0,1.234296799E1,-3.956344604E1
2.959870167E0,-3.560340881E0,1.253802109E1,-3.994230652E1
2.974887167E0,-4.119018555E0,1.261854935E1,-3.978030396E1
2.989903167E0,-5.383823395E0,1.235705757E1,-3.982369995E1
3.004920167E0,-6.063476562E0,1.230118656E1,-3.952966309E1
3.019937167E0,-6.915279388E0,1.243475437E1,-3.930351257E1
3.034953167E0,-7.238616943E0,1.281897354E1,-3.939750671E1
3.049970167E0,-7.952014923E0,1.348905754E1,-3.885188293E1
3.064987167E0,-8.288848877E0,1.367324257E1,-3.837402344E1
3.080003167E0,-9.543624878E0,1.413516045E1,-3.836268616E1
3.095020167E0,-1.032279968E1,1.442966270E1,-3.802616882E1
3.110037167E0,-1.200941277E1,1.493446159E1,-3.759114075E1
3.125054167E0,-1.290870857E1,1.535467243E1,-3.730422974E1
3.140070167E0,-1.461367035E1,1.581279373E1,-3.641716003E1
3.155087167E0,-1.554030418E1,1.612343788E1,-3.605810547E1
3.170104125E0,-1.623190689E1,1.640763855E1,-3.563661194E1
3.185120125E0,-1.737142754E1,1.666501999E1,-3.532429504E1
3.200137125E0,-1.786181068E1,1.681290054E1,-3.506495667E1
3.215154125E0,-1.870494461E1,1.752008820E1,-3.425680542E1
3.230170125E0,-1.909788704E1,1.810418510E1,-3.407725525E1
3.245187125E0,-1.989685249E1,1.987401962E1,-3.289888000E1
3.260204125E0,-2.039698029E1,2.122587967E1,-3.236900330E1
3.275221125E0,-2.252524185E1,2.349893951E1,-2.980561829E1
3.290237125E0,-2.366825485E1,2.383828926E1,-2.892289734E1
3.305254125E0,-2.537980270E1,2.386743546E1,-2.756056213E1
3.320271125E0,-2.578702927E1,2.406883049E1,-2.704311371E1
3.335287125E0,-2.561066818E1,2.569305611E1,-2.633286285E1
3.350304125E0,-2.511777306E1,2.687368393E1,-2.576772308E1
3.365321125E0,-2.460478592E1,2.826203537E1,-2.509617615E1
3.380338125E0,-2.358259773E1,3.119488525E1,-2.374201965E1
3.395354125E0,-2.325426865E1,3.241228867E1,-2.273635864E1
3.410371125E0,-2.297085953E1,3.453005600E1,-2.076710510E1
3.425388125E0,-2.292609215E1,3.519426346E1,-1.985078430E1
3.440404125E0,-2.329465866E1,3.606457520E1,-1.894593048E1
3.455421125E0,-2.341519928E1,3.605266571E1,-1.890634155E1
3.470438125E0,-2.363570595E1,3.572206497E1,-1.906941223E1
3.485455125E0,-2.381939697E1,3.571496582E1,-1.920655823E1
3.500471125E0,-2.399436951E1,3.590628815E1,-1.869347382E1
3.515488125E0,-2.426429176E1,3.635311508E1,-1.805988312E1
