"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.142850000E0,-1.281173825E0,6.331621855E-2,-2.500530005E0
1.157866000E0,-1.169065595E0,6.986252666E-1,-2.297453165E0
1.172883917E0,-1.006844878E0,1.261906624E0,-2.098356485E0
1.187900917E0,-6.444069147E-1,1.304907322E0,-2.071779251E0
1.202916917E0,1.171414182E-2,1.071451545E0,-2.026139021E0
1.217933917E0,6.033191681E-1,6.142910123E-1,-1.919435501E0
1.232950917E0,8.976328969E-1,-9.024003893E-2,-1.691348553E0
1.247967917E0,1.049274802E0,-1.385236859E0,-1.101396918E0
1.262983917E0,1.340721369E0,-1.792495489E0,-6.168739796E-1
1.278000917E0,1.791341901E0,-1.832991958E0,2.845221758E-1
1.293017917E0,1.706501126E0,-2.412193298E0,6.813355088E-1
1.308033917E0,1.769378424E0,-2.327820063E0,8.750738502E-1
1.323050917E0,1.895254493E0,-2.116245985E0,8.653258085E-1
1.338067917E0,2.021760941E0,-1.982425690E0,6.829575896E-1
1.353083917E0,1.955698729E0,-1.763209105E0,6.650669575E-1
1.368100917E0,1.676256537E0,-1.355538130E0,7.626582384E-1
1.383117917E0,1.461843610E0,-8.683349490E-1,8.972195387E-1
1.398133917E0,1.445933104E0,-8.916965127E-1,8.575504422E-1
1.413150917E0,1.415546894E0,-1.142029285E0,6.294515133E-1
1.428167917E0,1.347628236E0,-1.276932359E0,3.596354723E-1
1.443184917E0,1.258011460E0,-1.460503221E0,1.875610799E-1
1.458200917E0,1.128647566E0,-1.450797677E0,4.938803613E-2
1.473217917E0,1.037228107E0,-1.159171700E0,-6.658082455E-2
1.488234917E0,8.256545663E-1,-5.768506527E-1,-1.561998278E-1
1.503250917E0,5.643538237E-1,1.746541560E-1,-1.030836180E-1
1.518267917E0,4.093162715E-1,5.583235621E-1,4.776182398E-2
1.533284917E0,3.914715946E-1,5.739843845E-1,2.838718295E-1
1.548300917E0,4.721164703E-1,1.286583245E-1,5.635434389E-1
1.563317917E0,6.334570050E-1,-4.615587592E-1,7.786355615E-1
1.578334917E0,9.856166840E-1,-1.324422717E0,9.522076249E-1
1.593350917E0,1.381229758E0,-1.783291936E0,1.223727703E0
1.608367917E0,1.462539792E0,-2.027411222E0,1.213588715E0
1.623384917E0,1.280352950E0,-1.805182576E0,8.352213502E-1
1.638401917E0,9.147395492E-1,-1.233087420E0,5.083420277E-1
1.653417917E0,5.718517303E-1,-7.063211799E-1,4.751919806E-1
1.668434917E0,4.716024995E-1,-3.529031575E-1,5.794634223E-1
1.683451917E0,5.399489403E-1,-1.833694577E-1,4.883773625E-1
1.698467917E0,5.438771248E-1,-8.119461685E-2,3.476796448E-1
1.713484917E0,5.121230483E-1,-5.767440796E-1,4.357523322E-1
1.728501917E0,5.749313831E-1,-1.309027672E0,7.039269805E-1
1.743517917E0,6.050257683E-1,-1.707056522E0,8.816801906E-1
