"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717757682266040E9,"2024-06-07 12:54:42.266 UTC+02:00"
"PAUSE",5.058193225001451E2,1.717758188077059E9,"2024-06-07 13:03:08.077 UTC+02:00"
