"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718307000738613E9,"2024-06-13 21:30:00.739 UTC+02:00"
"PAUSE",5.348968632083415E2,1.718307535626553E9,"2024-06-13 21:38:55.627 UTC+02:00"
