"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.365493417E0,-4.125268555E1,2.610236740E1,4.696601868E0
1.380525417E0,-4.131250000E1,2.595201302E1,4.764411926E0
1.395556417E0,-4.141540527E1,2.578732300E1,4.951133728E0
1.410587417E0,-4.149731445E1,2.550551605E1,5.381019592E0
1.425618417E0,-4.152154541E1,2.554903221E1,5.014266968E0
1.440649417E0,-4.160177612E1,2.562931442E1,3.883010864E0
1.455680417E0,-4.141909790E1,2.583017159E1,2.588043213E0
1.470712417E0,-4.056890869E1,2.746026611E1,-7.149505615E-1
1.485743417E0,-4.019131470E1,2.819494438E1,-2.244232178E0
1.500774417E0,-3.857131958E1,3.013570976E1,-5.743064880E0
1.515805417E0,-3.751394653E1,3.106892967E1,-7.326469421E0
1.530836417E0,-3.530218506E1,3.311225891E1,-9.846809387E0
1.545867417E0,-3.439031982E1,3.383785629E1,-1.091979218E1
1.560899417E0,-3.313397217E1,3.454969025E1,-1.187638092E1
1.575930417E0,-3.291442871E1,3.472960281E1,-1.221108246E1
1.590961417E0,-3.324328613E1,3.428369141E1,-1.220784760E1
1.605992417E0,-3.365637207E1,3.371237183E1,-1.207444000E1
1.621023417E0,-3.455261230E1,3.300724030E1,-1.170168304E1
1.636054417E0,-3.628262329E1,3.147602654E1,-1.063111115E1
1.651086417E0,-3.726629639E1,3.079972839E1,-9.699333191E0
1.666117417E0,-3.881976318E1,2.910758591E1,-7.866889954E0
1.681148417E0,-3.950451660E1,2.811224747E1,-6.662574768E0
1.696179417E0,-4.107904053E1,2.613317490E1,-4.209510803E0
1.711210417E0,-4.209814453E1,2.469769287E1,-2.735969543E0
1.726241417E0,-4.364755249E1,2.228657532E1,8.055877686E-2
1.741273417E0,-4.377685547E1,2.150809097E1,1.643455505E0
1.756304417E0,-4.381124878E1,2.075953293E1,3.179809570E0
1.771335417E0,-4.404425049E1,2.071010780E1,3.407218933E0
1.786366417E0,-4.400567627E1,2.080506516E1,2.961502075E0
1.801397417E0,-4.378094482E1,2.125459862E1,2.969398499E0
1.816428417E0,-4.279052734E1,2.291034698E1,3.127861023E0
1.831460417E0,-4.232870483E1,2.386950684E1,3.071662903E0
1.846491417E0,-4.165447998E1,2.483516884E1,3.512634277E0
1.861522417E0,-4.030252075E1,2.662846375E1,4.540405273E0
1.876553417E0,-3.975784302E1,2.731791687E1,4.957191467E0
1.891584417E0,-3.844943237E1,2.880198479E1,6.042327881E0
1.906615417E0,-3.761340332E1,2.978024483E1,6.194732666E0
1.921647417E0,-3.611282349E1,3.158571815E1,6.687179565E0
1.936678417E0,-3.521813965E1,3.243719101E1,7.711730957E0
1.951709417E0,-3.314233398E1,3.400898361E1,8.896781921E0
1.966740417E0,-3.212573242E1,3.474737549E1,9.510368347E0
1.981771708E0,-3.010784912E1,3.621082306E1,1.109577179E1
1.996802708E0,-2.911462402E1,3.695955658E1,1.181528473E1
2.011834708E0,-2.700787354E1,3.822267914E1,1.268431091E1
2.026865708E0,-2.608532715E1,3.881827164E1,1.262385559E1
2.041896708E0,-2.513562012E1,3.939981842E1,1.254531860E1
2.056927708E0,-2.345300293E1,4.088735199E1,1.119686127E1
2.071958708E0,-2.267883301E1,4.163094330E1,9.595672607E0
2.086989708E0,-2.101269531E1,4.288587952E1,6.470329285E0
2.102020708E0,-1.991369629E1,4.366090393E1,5.017578125E0
2.117052708E0,-1.705657959E1,4.513431549E1,1.616210938E0
