"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.335431417E0,1.340382695E0,-2.021317005E0,-6.177304983E-1
1.350462417E0,1.170771837E0,-1.505387783E0,-4.828338623E-1
1.365493417E0,9.604640603E-1,-8.846957088E-1,-4.566163123E-1
1.380525417E0,7.202700973E-1,-6.400622725E-1,-4.853952527E-1
1.395556417E0,4.300639927E-1,-1.054229021E0,-3.188738525E-1
1.410587417E0,6.271122098E-1,-8.764702827E-2,-3.341303468E-1
1.425618417E0,6.919639707E-1,8.082735538E-1,1.628178507E-1
1.440649417E0,9.523473978E-1,1.971245170E0,7.031801343E-1
1.455680417E0,1.254985094E0,2.712293148E0,1.392499208E0
1.470712417E0,1.681495428E0,3.149141550E0,1.948314786E0
1.485743417E0,2.001612902E0,3.053149700E0,2.362403393E0
1.500774417E0,2.062128544E0,2.585727692E0,2.839215040E0
1.515805417E0,1.836424589E0,1.916992068E0,3.171805620E0
1.530836417E0,1.868903399E0,9.664292932E-1,2.960164785E0
1.545867417E0,1.751497030E0,-1.393219233E-1,2.019169807E0
1.560899417E0,1.069400787E0,-3.024232388E-1,1.261727810E0
1.575930417E0,4.120690525E-1,-1.837460399E-1,5.159894750E-2
1.590961417E0,2.081782073E-1,-2.955663502E-1,-1.282369256E0
1.605992417E0,4.489278421E-2,-6.791983843E-1,-1.882258534E0
1.621023417E0,-1.979113370E-1,-1.154488206E0,-2.459245443E0
1.636054417E0,-6.249231696E-1,-1.700511098E0,-2.156552792E0
1.651086417E0,-5.811865926E-1,-1.737545013E0,-2.337955236E0
1.666117417E0,-2.910504341E-1,-2.119074345E0,-2.356566191E0
1.681148417E0,-6.347563863E-1,-2.648143530E0,-2.325001717E0
1.696179417E0,-1.429098725E0,-2.793278694E0,-3.081107616E0
1.711210417E0,-1.851267338E0,-2.320487022E0,-3.249955416E0
1.726241417E0,-2.489859581E0,-2.038449049E0,-1.934785128E0
1.741273417E0,-2.347501993E0,-1.424189806E0,-5.257651210E-1
1.756304417E0,-1.433182955E0,1.199333742E-1,-2.928735316E-1
1.771335417E0,-1.038083434E0,1.056707263E0,-3.994270042E-2
1.786366417E0,-1.432071567E0,1.079475164E0,7.917804122E-1
1.801397417E0,-1.952702165E0,7.456828952E-1,1.552935123E0
1.816428417E0,-2.066651583E0,5.681373477E-1,2.510590076E0
1.831460417E0,-2.237723351E0,8.425155282E-1,2.527696133E0
1.846491417E0,-2.023702145E0,6.382890046E-2,2.427237749E0
1.861522417E0,-1.658537507E0,-3.158808649E-1,1.951117396E0
1.876553417E0,-1.230387568E0,-6.297580600E-1,1.917283177E0
1.891584417E0,-7.266786098E-1,-4.077875316E-1,2.256093264E0
1.906615417E0,-5.109463930E-1,-1.404227912E-1,2.471268654E0
1.921647417E0,-3.208555281E-1,-7.790762186E-1,2.489522457E0
1.936678417E0,-2.515102923E-1,-1.416813016E0,2.465020418E0
