"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.292427542E0,-1.479156874E-2,-1.530697010E-2,-1.104576141E-2
1.307503542E0,-3.298426792E-2,-4.819069430E-2,1.077591255E-2
1.322578542E0,-2.728269435E-2,-2.866992913E-2,3.414846212E-2
1.337654542E0,-1.884899661E-2,1.790103503E-2,6.266985089E-2
1.352730542E0,-2.610497735E-2,3.323920816E-2,1.005929559E-1
1.367806542E0,-3.837814182E-2,1.908247359E-3,1.037292108E-1
1.382882542E0,-3.156589344E-2,-2.865772881E-2,8.822029829E-2
1.397958542E0,-1.023237128E-2,-3.490896523E-2,5.311849713E-2
1.413034542E0,1.296106540E-2,-2.342613041E-2,-8.707357338E-4
1.428109542E0,3.811617568E-2,-1.631598221E-3,-5.909691006E-2
1.443185542E0,5.079476163E-2,2.424836345E-2,-9.502116591E-2
1.458261542E0,5.218546465E-2,3.806271031E-2,-1.195246428E-1
1.473337542E0,4.205892980E-2,2.288036421E-2,-1.322768480E-1
1.488413542E0,4.060022533E-2,1.204041019E-2,-1.314727664E-1
1.503489542E0,4.570198804E-2,5.721089896E-3,-1.034199372E-1
1.518565542E0,1.390997227E-2,-2.336435765E-2,-7.272833586E-2
1.533640542E0,-8.381563239E-3,-5.137018859E-2,-5.828049779E-2
1.548716542E0,-3.863330930E-2,-7.763269544E-2,-4.488947615E-2
1.563792542E0,-6.033879146E-2,-5.238137767E-2,-2.959460206E-2
1.578868542E0,-7.155549526E-2,-3.297226131E-2,-2.523303730E-3
1.593944542E0,-6.692804396E-2,-1.911427453E-2,3.433223465E-4
1.609020542E0,-3.805795684E-2,-1.945718541E-3,-4.124882817E-2
1.624096542E0,3.559918841E-3,2.346763574E-2,-5.981653184E-2
1.639171542E0,5.657626316E-2,2.404527552E-2,-5.236687139E-2
1.654247542E0,8.120522648E-2,1.397850364E-2,-3.559946269E-2
1.669323542E0,7.720778883E-2,1.560924202E-2,-3.826239333E-2
1.684399542E0,6.007599086E-2,1.400915440E-3,-4.361070320E-2
1.699475542E0,2.938652225E-2,-5.811990239E-3,-8.149383590E-3
1.714551542E0,1.242816634E-2,-1.187440380E-2,1.836767234E-2
1.729627542E0,9.722348768E-4,-2.711969800E-2,2.328192815E-2
1.744702542E0,-5.181853659E-3,-1.602634043E-2,1.062871702E-2
1.759778542E0,1.647823374E-3,-1.843090728E-2,-5.753185600E-3
1.774854542E0,2.241525240E-2,-2.207995392E-2,-4.468312487E-2
1.789930542E0,4.487731680E-2,-6.833639927E-3,-8.742834628E-2
1.805006542E0,5.980711058E-2,1.745739765E-2,-1.152951270E-1
