"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.312712625E0,4.539372027E-1,-8.038422465E-1,1.250516653E0
1.327813625E0,6.241410971E-1,-6.809987426E-1,1.236723423E0
1.342915625E0,6.787620187E-1,-7.218529582E-1,1.358006716E0
1.358016625E0,5.025085211E-1,-7.776046395E-1,1.601066351E0
1.373117625E0,2.123605907E-1,-6.357476115E-1,1.657810569E0
1.388218625E0,1.459854245E-1,-3.608671427E-1,1.587363958E0
1.403320625E0,4.140036404E-1,-6.456038356E-2,1.677962184E0
1.418421625E0,8.094199896E-1,-1.289176941E-1,1.809114575E0
1.433522625E0,1.111667156E0,-6.910225749E-1,1.949515104E0
1.448623625E0,1.288074136E0,-1.371156454E0,2.133479357E0
1.463725625E0,1.406626582E0,-1.893938541E0,2.263655424E0
1.478826625E0,1.539235473E0,-2.034418106E0,2.320184469E0
1.493927625E0,1.578948736E0,-1.875941157E0,2.467548609E0
1.509028625E0,1.373038054E0,-1.585212827E0,2.655080080E0
1.524130625E0,1.141060710E0,-1.380943298E0,2.899452686E0
1.539231625E0,1.075416565E0,-1.423076153E0,3.203381062E0
1.554332625E0,1.158854246E0,-1.758210778E0,3.419165611E0
1.569434625E0,1.240679622E0,-2.128404617E0,3.473024368E0
1.584535625E0,1.121147275E0,-2.250143766E0,3.363046169E0
1.599636625E0,7.690476179E-1,-2.078894138E0,3.322831392E0
1.614737625E0,3.695737422E-1,-1.429001331E0,3.349089861E0
1.629838625E0,1.175544858E-1,-6.830219626E-1,3.398555517E0
1.644940625E0,7.458073087E-3,-2.007671595E-1,3.355956078E0
1.660041625E0,-9.855890274E-2,-7.469860837E-3,3.072461128E0
1.675142625E0,-2.597102523E-1,1.535134315E-1,2.634240389E0
1.690244625E0,-5.577783585E-1,4.072637260E-1,2.247326851E0
1.705345625E0,-1.073209643E0,8.245023489E-1,1.857765079E0
1.720446625E0,-1.637055039E0,1.306813240E0,1.570443153E0
1.735547625E0,-2.174736977E0,1.500077486E0,1.241543770E0
1.750649625E0,-2.642420530E0,1.402805686E0,9.933263063E-1
1.765750625E0,-2.952368498E0,1.426011205E0,6.170270443E-1
1.780851625E0,-3.044671297E0,1.651214004E0,2.136938274E-1
1.795952625E0,-3.042854786E0,1.800742030E0,-2.744553089E-1
1.811054625E0,-2.968050957E0,1.818211079E0,-8.704919219E-1
1.826155625E0,-2.843461990E0,1.730367541E0,-1.610170245E0
1.841256625E0,-2.746852160E0,1.555478096E0,-2.182789087E0
1.856357625E0,-2.605531693E0,1.655039310E0,-2.422719479E0
1.871459625E0,-2.495562077E0,1.962922573E0,-2.614859343E0
1.886560625E0,-2.463391781E0,2.113901615E0,-2.947942019E0
1.901661625E0,-2.387394428E0,1.857354403E0,-3.288943291E0
1.916762625E0,-2.293965340E0,1.157891393E0,-3.433416128E0
1.931864625E0,-1.937226057E0,4.700910151E-1,-3.070484877E0
1.946965625E0,-1.332395196E0,1.359110028E-1,-2.452802658E0
1.962066625E0,-6.902409792E-1,-6.318147480E-2,-1.876832008E0
1.977167625E0,-5.072757229E-2,-2.057948261E-1,-1.393169761E0
1.992269625E0,4.009372294E-1,-3.272016943E-1,-8.581264615E-1
2.007370625E0,5.248317719E-1,-5.328981876E-1,-4.687570035E-1
2.022471625E0,6.923117042E-1,-9.119156003E-1,-2.417873591E-1
2.037572625E0,1.158030629E0,-1.205856204E0,9.276027232E-2
2.052674625E0,1.791635275E0,-1.383950949E0,4.488905668E-1
2.067775625E0,2.396753550E0,-1.602706075E0,6.936523318E-1
2.082876625E0,2.648878098E0,-2.060154438E0,8.398157358E-1
2.097977625E0,2.657921791E0,-2.203114748E0,1.058669567E0
2.113079625E0,7.701239586E-1,-4.327181816E0,5.321193933E-1
2.128180625E0,6.299063563E-1,-3.306109667E0,1.309954166E0
2.143281625E0,9.011211395E-1,-1.014662623E0,2.025348425E0
2.158382625E0,1.312419176E0,-9.087702259E-3,2.245565891E0
2.173484625E0,1.470684290E0,-5.130103827E-1,1.988870502E0
2.188585625E0,1.338535547E0,-1.238126159E0,1.376485229E0
2.203686625E0,1.260176063E0,-1.160931587E0,1.121903777E0
2.218787625E0,9.549137950E-1,-8.477953076E-1,1.105958462E0
2.233889625E0,6.346009970E-1,-8.147852421E-1,1.185668826E0
2.248990625E0,6.772756577E-1,-8.848593235E-1,1.356883645E0
2.264091625E0,1.039844513E0,-1.109357953E0,1.503685474E0
2.279192625E0,1.408704400E0,-1.578553677E0,1.508130789E0
2.294294625E0,1.645244122E0,-2.064834833E0,1.488699436E0
2.309395625E0,1.663333297E0,-2.429397583E0,1.503797412E0
2.324496625E0,1.578961253E0,-2.417738914E0,1.508535743E0
2.339597625E0,1.563271046E0,-1.978538156E0,1.450492740E0
2.354699625E0,1.673682570E0,-1.497717619E0,1.362914562E0
2.369799750E0,1.365284324E0,-1.858802199E0,1.107728481E0
2.384900750E0,1.188401580E0,-1.984194160E0,1.072600245E0
2.400001750E0,7.281447053E-1,-2.279536963E0,1.149758697E0
2.415103750E0,4.844247699E-1,-2.045613289E0,1.270424724E0
2.430204750E0,3.749800622E-1,-1.294412136E0,1.425493479E0
2.445305750E0,-1.383344084E-1,-7.191713452E-1,1.527081966E0
2.460406750E0,-4.876074493E-1,-4.298207462E-1,1.781319022E0
2.475508750E0,-8.422246575E-1,-6.549632549E-1,2.316253424E0
2.490609750E0,-7.439515591E-1,-1.114622355E0,3.202875853E0
2.505710750E0,-9.442488104E-2,-1.292009354E0,3.230393410E0
2.520811750E0,7.722481489E-1,-7.115814090E-1,1.195055962E0
2.535913750E0,-1.014747858E0,-3.140019774E-1,8.176414371E-1
2.551014750E0,-8.778707385E-1,6.718331575E-1,9.680858254E-1
2.566115750E0,-7.853483409E-2,3.860647976E-1,7.997331023E-1
2.581216750E0,6.165845990E-1,1.452050358E-1,8.695002198E-1
2.596318750E0,6.729724407E-1,3.671714664E-1,1.132852674E0
2.611419750E0,1.787486374E-1,4.310030043E-1,1.300195813E0
2.626520750E0,-1.694140732E-1,-1.077198461E-1,1.269301891E0
2.641621750E0,-2.887044847E-1,-5.069482327E-1,1.179540753E0
2.656723750E0,-4.889903665E-1,-4.182805121E-1,1.087167025E0
2.671824750E0,-5.982642770E-1,-2.400036603E-1,9.009764194E-1
2.686925750E0,-5.618696213E-1,-2.020670474E-2,6.729698777E-1
2.702026750E0,-3.248067498E-1,2.844789028E-1,4.894500971E-1
2.717128750E0,1.417959947E-2,5.388975143E-1,3.906695843E-1
2.732229750E0,2.286377698E-1,5.074911118E-1,3.198656440E-1
2.747330750E0,3.049039841E-1,2.551678419E-1,1.535828561E-1
2.762431750E0,2.483914495E-1,1.069155186E-1,1.938152313E-1
