"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.547937150E2,5.233495112E1,4.863906014E0,3.595410883E0,NaN,NaN,3.800000000E1,1.921127892E1
1.553917199E2,5.233495587E1,4.863916903E0,3.562659204E0,NaN,NaN,3.800000000E1,1.674586296E1
1.614002169E2,5.233496017E1,4.863927234E0,3.554685593E0,NaN,NaN,3.800000000E1,1.955549622E1
1.614250450E2,5.233496024E1,4.863927084E0,3.543243647E0,NaN,NaN,3.800000000E1,1.640615845E1
1.674314950E2,5.233495795E1,4.863923130E0,3.518141031E0,NaN,NaN,3.800000000E1,1.945820808E1
1.679909760E2,5.233495650E1,4.863919943E0,3.510801435E0,NaN,NaN,3.800000000E1,1.684525681E1
1.696677439E2,5.233495558E1,4.863917862E0,3.505973399E0,NaN,NaN,3.800000000E1,1.651109505E1
1.756783019E2,5.233495050E1,4.863903891E0,3.511453867E0,NaN,NaN,3.800000000E1,1.949015999E1
1.761825479E2,5.233494895E1,4.863899400E0,3.518374681E0,NaN,NaN,3.800000000E1,1.681329536E1
1.780022490E2,5.233494792E1,4.863896489E0,3.523018062E0,NaN,NaN,3.800000000E1,1.662872124E1
1.840118879E2,5.233495087E1,4.863902298E0,3.493889689E0,NaN,NaN,3.800000000E1,1.952294731E1
1.845315319E2,5.233495209E1,4.863905009E0,3.473621666E0,NaN,NaN,3.800000000E1,1.684489632E1
1.861674600E2,5.233494981E1,4.863900077E0,3.460348308E0,NaN,NaN,3.800000000E1,1.647232819E1
1.921779740E2,5.233495215E1,4.863905770E0,3.499843657E0,NaN,NaN,3.800000000E1,1.947916794E1
1.921893460E2,5.233495254E1,4.863906375E0,3.516528666E0,NaN,NaN,3.800000000E1,1.634837723E1
1.925856459E2,5.233495258E1,4.863906289E0,3.534611225E0,NaN,NaN,3.800000000E1,1.486035824E1
1.942670940E2,5.233495017E1,4.863900969E0,3.549480319E0,NaN,NaN,3.800000000E1,1.551221180E1
2.002778109E2,5.233494867E1,4.863897702E0,3.572158158E0,NaN,NaN,3.800000000E1,1.920838356E1
2.007850009E2,5.233495452E1,4.863912346E0,3.558412015E0,NaN,NaN,3.800000000E1,1.666145134E1
2.067906619E2,5.233494989E1,4.863901581E0,3.544501185E0,NaN,NaN,3.800000000E1,1.953005028E1
2.072890210E2,5.233494832E1,4.863898428E0,3.539653420E0,NaN,NaN,3.800000000E1,1.682977867E1
2.089663709E2,5.233494715E1,4.863896426E0,3.536458731E0,NaN,NaN,3.800000000E1,1.650396919E1
2.149683210E2,5.233495424E1,4.863913118E0,3.527868986E0,NaN,NaN,3.800000000E1,1.948341942E1
2.209780580E2,5.233495079E1,4.863903633E0,3.535383940E0,NaN,NaN,3.800000000E1,2.032947350E1
2.240628270E2,5.233494895E1,4.863898806E0,3.492896140E0,NaN,NaN,3.800000000E1,1.907430840E1
