"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717757682571238E9,"2024-06-07 12:54:42.571 UTC+02:00"
"PAUSE",5.065030105833139E2,1.717758189068474E9,"2024-06-07 13:03:09.068 UTC+02:00"
