"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717757681844615E9,"2024-06-07 12:54:41.845 UTC+02:00"
"PAUSE",5.001545440000191E2,1.717758181989382E9,"2024-06-07 13:03:01.989 UTC+02:00"
