"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.353901000E0,-4.426829529E1,-2.849713135E1,-4.916255188E1
1.368977000E0,-4.421395874E1,-2.871469116E1,-4.887239075E1
1.384053000E0,-4.447088623E1,-2.910357666E1,-4.820487976E1
1.399129000E0,-4.461009216E1,-2.945465088E1,-4.776597595E1
1.414205000E0,-4.493090820E1,-3.049163818E1,-4.726785278E1
1.429281000E0,-4.469195557E1,-3.110958862E1,-4.696653748E1
1.444357000E0,-4.381898499E1,-3.277935791E1,-4.651620483E1
1.459433000E0,-4.318635559E1,-3.345275879E1,-4.643049622E1
1.474508000E0,-4.182292175E1,-3.492800903E1,-4.659019470E1
1.489584000E0,-4.093595886E1,-3.581347656E1,-4.695500183E1
1.504660000E0,-3.873512268E1,-3.746697998E1,-4.743017578E1
1.519736000E0,-3.781474304E1,-3.815588379E1,-4.779876709E1
1.534812000E0,-3.576445007E1,-3.916577148E1,-4.822311401E1
1.549888000E0,-3.502661133E1,-3.955056763E1,-4.841062927E1
1.564964000E0,-3.347821045E1,-4.052282715E1,-4.883039856E1
1.580040000E0,-3.281707764E1,-4.110208130E1,-4.878634644E1
1.595116000E0,-3.131909180E1,-4.270858765E1,-4.851339722E1
1.610191000E0,-3.064080811E1,-4.344241333E1,-4.794454956E1
1.625267000E0,-2.921055603E1,-4.498510742E1,-4.781384277E1
1.640343000E0,-2.814186096E1,-4.565710449E1,-4.734748840E1
1.655419000E0,-2.656568909E1,-4.702828979E1,-4.707620239E1
1.670495000E0,-2.593020630E1,-4.762564087E1,-4.675347900E1
1.685571000E0,-2.463265991E1,-4.913775635E1,-4.539419556E1
1.700647000E0,-2.424101257E1,-4.969839478E1,-4.506765747E1
1.715723000E0,-2.383512878E1,-5.066275024E1,-4.452822876E1
1.730798000E0,-2.373292542E1,-5.088159180E1,-4.440754700E1
1.745874000E0,-2.337982178E1,-5.125207520E1,-4.419113159E1
1.760950000E0,-2.312431335E1,-5.138250732E1,-4.394876099E1
1.776026000E0,-2.265620422E1,-5.163867188E1,-4.397227478E1
1.791102000E0,-2.247869873E1,-5.187930298E1,-4.382266235E1
1.806178000E0,-2.203182983E1,-5.247137451E1,-4.334545898E1
1.821254000E0,-2.179435730E1,-5.285348511E1,-4.306687927E1
1.836330000E0,-2.143840027E1,-5.330783081E1,-4.300012207E1
1.851405000E0,-2.135108948E1,-5.325634766E1,-4.270942688E1
1.866481000E0,-2.129299927E1,-5.334277344E1,-4.281341553E1
1.881557000E0,-2.111894226E1,-5.347814941E1,-4.283280945E1
1.896633000E0,-2.042898560E1,-5.417266846E1,-4.215841675E1
1.911709000E0,-1.982835388E1,-5.506265259E1,-4.140449524E1
1.926785000E0,-1.825366211E1,-5.712088013E1,-3.941271973E1
1.941861000E0,-1.754479980E1,-5.796417236E1,-3.858016968E1
1.956937000E0,-1.632624817E1,-5.870220947E1,-3.763243103E1
1.972013000E0,-1.580325317E1,-5.914947510E1,-3.736145020E1
1.987088000E0,-1.568608093E1,-5.942236328E1,-3.717959595E1
2.002164000E0,-1.522924805E1,-5.954147339E1,-3.691526794E1
2.017240000E0,-1.489710999E1,-5.962335205E1,-3.661145020E1
2.032316000E0,-1.445578003E1,-5.992355347E1,-3.687023926E1
2.047392000E0,-1.301916504E1,-6.033905029E1,-3.687683105E1
2.062468000E0,-1.124378967E1,-6.048242188E1,-3.705688477E1
2.077544000E0,-1.023623657E1,-6.038174438E1,-3.750698853E1
2.092620000E0,-7.405059814E0,-5.983047485E1,-3.921208191E1
2.107695000E0,-5.031387329E0,-5.930908203E1,-4.013340759E1
2.122771000E0,5.906524658E-1,-5.813024902E1,-4.250933838E1
2.137847000E0,3.721450806E0,-5.728848267E1,-4.340451050E1
2.152923000E0,6.926879883E0,-5.691534424E1,-4.386672974E1
2.167999000E0,6.383148193E0,-5.729379272E1,-4.305065918E1
2.183075000E0,4.896072388E0,-5.865942383E1,-4.135491943E1
2.198151000E0,3.932006836E0,-5.917666626E1,-4.081300354E1
2.213227000E0,2.639877319E0,-5.973968506E1,-3.995195007E1
2.228303000E0,2.210449219E0,-5.996411133E1,-3.956251526E1
2.243378000E0,1.156875610E0,-6.079229736E1,-3.858956909E1
2.258454000E0,6.286621094E-1,-6.116351318E1,-3.796958923E1
2.273530000E0,2.066497803E-1,-6.171322632E1,-3.710104370E1
