"Time (s)","X (hPa)"
9.856460525E1,1.015626907E3
9.962947225E1,1.015626526E3
1.006943343E2,1.015625000E3
1.017592762E2,1.015620422E3
1.028241302E2,1.015619125E3
1.038889763E2,1.015619125E3
1.049538032E2,1.015612640E3
1.060186503E2,1.015611572E3
1.070835022E2,1.015611572E3
1.081483083E2,1.015611572E3
1.092130883E2,1.015614700E3
1.102778623E2,1.015615158E3
1.113426673E2,1.015619125E3
1.124075063E2,1.015624161E3
1.134723453E2,1.015625916E3
1.145371912E2,1.015626907E3
1.156020883E2,1.015627289E3
1.166669543E2,1.015628204E3
1.177317953E2,1.015630264E3
1.187966573E2,1.015632553E3
1.198615602E2,1.015635757E3
1.209264773E2,1.015635757E3
1.219913603E2,1.015635529E3
1.230562493E2,1.015634308E3
1.241210702E2,1.015622940E3
1.251859552E2,1.015617676E3
1.262508652E2,1.015611801E3
1.273157392E2,1.015612030E3
1.283806633E2,1.015612030E3
1.294455863E2,1.015620804E3
1.305105162E2,1.015620804E3
1.315754363E2,1.015617218E3
1.326403222E2,1.015604553E3
1.337052682E2,1.015604248E3
1.347701632E2,1.015600433E3
1.358350683E2,1.015597916E3
1.369000102E2,1.015597916E3
1.379649102E2,1.015604172E3
1.390297812E2,1.015608215E3
1.400946123E2,1.015615158E3
1.411593832E2,1.015616226E3
1.422241623E2,1.015616226E3
1.432889552E2,1.015621643E3
1.443537922E2,1.015619354E3
1.454186942E2,1.015619354E3
1.464835713E2,1.015613098E3
1.475484222E2,1.015606689E3
1.486132562E2,1.015605927E3
1.496780903E2,1.015605927E3
1.507429652E2,1.015601730E3
1.518078292E2,1.015604019E3
1.528726682E2,1.015602264E3
1.539375202E2,1.015602264E3
1.550023163E2,1.015595627E3
1.560671322E2,1.015595627E3
1.571319422E2,1.015597839E3
1.581968013E2,1.015600204E3
1.592616212E2,1.015608215E3
1.603264432E2,1.015608215E3
1.613912382E2,1.015608139E3
1.624560522E2,1.015608139E3
1.635208713E2,1.015609818E3
1.645857143E2,1.015609818E3
1.656505642E2,1.015612030E3
1.667154043E2,1.015607834E3
1.677802232E2,1.015610886E3
1.688450383E2,1.015607834E3
1.699098773E2,1.015610886E3
1.709746962E2,1.015610962E3
1.720395213E2,1.015611572E3
1.731043672E2,1.015611572E3
1.741692133E2,1.015611572E3
1.752340782E2,1.015612411E3
1.762989353E2,1.015614929E3
1.773637542E2,1.015612411E3
1.784286313E2,1.015602264E3
1.794935302E2,1.015601730E3
1.805584073E2,1.015601730E3
1.816232613E2,1.015601730E3
1.826880893E2,1.015605698E3
1.837529142E2,1.015603561E3
1.848178073E2,1.015603561E3
1.858826882E2,1.015603561E3
1.869475612E2,1.015610275E3
1.880124042E2,1.015612793E3
1.890772943E2,1.015612793E3
1.901421222E2,1.015613937E3
1.912069852E2,1.015610123E3
1.922718732E2,1.015612411E3
1.933367843E2,1.015606461E3
1.944017113E2,1.015612030E3
1.954665963E2,1.015605927E3
1.965315183E2,1.015605927E3
1.975964893E2,1.015605927E3
1.986614152E2,1.015613861E3
1.997263243E2,1.015613861E3
2.007912203E2,1.015613861E3
2.018561082E2,1.015613937E3
2.029209892E2,1.015613937E3
2.039858522E2,1.015610504E3
2.050507482E2,1.015609894E3
2.061156232E2,1.015610504E3
2.071805253E2,1.015614090E3
2.082454782E2,1.015620575E3
2.093104332E2,1.015623550E3
2.103753253E2,1.015624771E3
2.114402293E2,1.015626678E3
2.125051212E2,1.015626678E3
2.135700243E2,1.015626678E3
2.146349093E2,1.015621872E3
2.156998052E2,1.015602570E3
2.167647043E2,1.015597916E3
2.178295842E2,1.015589218E3
2.188944993E2,1.015589218E3
2.199593363E2,1.015592880E3
2.210241942E2,1.015603180E3
2.220891163E2,1.015610504E3
2.231540493E2,1.015612640E3
2.242189822E2,1.015617828E3
2.252839232E2,1.015617828E3
2.263488743E2,1.015614243E3
2.274138073E2,1.015613480E3
2.284787172E2,1.015608215E3
2.295436772E2,1.015612640E3
2.306086153E2,1.015608215E3
2.316735783E2,1.015612640E3
2.327385042E2,1.015603790E3
2.338034462E2,1.015603943E3
2.348683622E2,1.015603943E3
2.359333222E2,1.015613403E3
2.369982932E2,1.015617218E3
2.380632462E2,1.015627136E3
2.391282022E2,1.015634155E3
2.401931403E2,1.015634155E3
2.412580622E2,1.015633469E3
2.423230242E2,1.015633469E3
2.433879733E2,1.015623322E3
2.444528793E2,1.015622711E3
2.455177523E2,1.015622711E3
2.465826312E2,1.015627594E3
2.476474993E2,1.015630493E3
2.487124023E2,1.015634155E3
2.497773343E2,1.015633469E3
2.508422812E2,1.015633469E3
2.519071543E2,1.015632782E3
2.529719982E2,1.015631332E3
2.540368432E2,1.015626678E3
2.551017282E2,1.015626678E3
2.561665612E2,1.015626984E3
2.572314213E2,1.015626984E3
2.582962773E2,1.015626984E3
2.593610843E2,1.015633621E3
2.604259312E2,1.015638657E3
2.614907833E2,1.015639572E3
2.625556692E2,1.015639572E3
2.636205303E2,1.015635605E3
2.646853753E2,1.015634995E3
2.657503052E2,1.015633850E3
2.668151822E2,1.015628433E3
2.678800942E2,1.015629501E3
2.689450122E2,1.015629425E3
2.700099323E2,1.015629501E3
2.710748682E2,1.015629425E3
2.721398142E2,1.015630341E3
2.732048042E2,1.015633698E3
2.742697142E2,1.015638123E3
2.753346343E2,1.015648880E3
2.763995273E2,1.015649490E3
2.774644123E2,1.015649490E3
2.785292953E2,1.015648880E3
2.795941642E2,1.015641098E3
2.806590452E2,1.015631943E3
2.817239232E2,1.015630951E3
2.827887823E2,1.015631943E3
2.838536412E2,1.015632172E3
2.849184972E2,1.015637817E3
2.859833732E2,1.015638504E3
2.870482642E2,1.015643158E3
2.881131562E2,1.015641632E3
2.891780653E2,1.015641632E3
2.902429413E2,1.015636978E3
2.913078922E2,1.015636978E3
2.923728103E2,1.015636978E3
2.934376893E2,1.015633698E3
2.945025472E2,1.015633698E3
2.955674162E2,1.015633698E3
2.966323143E2,1.015634766E3
2.976972163E2,1.015634766E3
2.987620662E2,1.015634766E3
2.998268692E2,1.015634766E3
3.008917142E2,1.015634689E3
3.019565782E2,1.015634689E3
3.030214143E2,1.015634689E3
3.040863022E2,1.015640259E3
3.051511752E2,1.015636139E3
3.062161042E2,1.015639343E3
3.072810542E2,1.015636139E3
3.083460212E2,1.015636139E3
3.094109582E2,1.015625076E3
3.104759142E2,1.015634308E3
3.115408752E2,1.015629807E3
3.126058142E2,1.015634308E3
3.136707573E2,1.015634918E3
3.147357082E2,1.015637436E3
3.158006452E2,1.015637436E3
3.168656082E2,1.015637436E3
3.179305622E2,1.015635147E3
3.189954812E2,1.015630341E3
3.200603932E2,1.015630341E3
3.211253173E2,1.015630569E3
3.221902152E2,1.015637436E3
3.232551112E2,1.015637665E3
3.243200502E2,1.015638657E3
3.253849973E2,1.015637665E3
3.264499623E2,1.015636978E3
3.275149112E2,1.015630569E3
3.285798212E2,1.015625839E3
3.296446883E2,1.015625000E3
3.307096142E2,1.015624008E3
3.317745613E2,1.015623322E3
3.328395043E2,1.015624008E3
3.339043962E2,1.015624161E3
3.349693313E2,1.015624161E3
3.360342992E2,1.015621948E3
3.370992212E2,1.015621872E3
3.381641393E2,1.015621948E3
3.392291192E2,1.015623322E3
3.402940522E2,1.015625687E3
3.413589723E2,1.015629654E3
3.424238882E2,1.015633240E3
3.434888382E2,1.015633240E3
3.445537892E2,1.015636215E3
3.456187502E2,1.015633316E3
3.466837062E2,1.015637283E3
3.477486893E2,1.015633316E3
3.488137103E2,1.015636978E3
3.498787503E2,1.015636978E3
3.509438272E2,1.015637665E3
3.520088583E2,1.015637665E3
3.530738452E2,1.015639114E3
3.541388693E2,1.015638046E3
3.552039102E2,1.015638046E3
3.562689433E2,1.015635529E3
3.573339793E2,1.015635529E3
3.583990182E2,1.015641632E3
3.594640372E2,1.015641632E3
3.605290572E2,1.015638962E3
3.615940853E2,1.015638962E3
3.626590952E2,1.015639954E3
3.637240912E2,1.015642700E3
3.647890683E2,1.015645523E3
3.658540822E2,1.015647964E3
3.669190782E2,1.015648575E3
3.679840753E2,1.015649338E3
3.690490762E2,1.015648575E3
3.701140642E2,1.015637054E3
3.711790502E2,1.015635834E3
3.722440473E2,1.015630875E3
3.733089883E2,1.015630875E3
3.743739723E2,1.015632553E3
3.754389692E2,1.015636215E3
3.765039272E2,1.015642853E3
3.775688663E2,1.015643311E3
3.786338262E2,1.015649948E3
3.796987793E2,1.015654984E3
3.807637353E2,1.015653229E3
3.818287083E2,1.015653229E3
3.828936992E2,1.015647812E3
3.839587253E2,1.015645828E3
3.850237283E2,1.015645065E3
3.860886783E2,1.015644836E3
3.871536602E2,1.015644836E3
3.882186263E2,1.015645294E3
3.892835703E2,1.015647202E3
3.903485553E2,1.015649872E3
3.914135313E2,1.015650330E3
3.924785002E2,1.015652390E3
3.935435222E2,1.015653610E3
3.946085253E2,1.015661011E3
3.956735973E2,1.015661011E3
3.967386273E2,1.015655823E3
3.978036043E2,1.015652847E3
3.988686102E2,1.015647202E3
3.999335612E2,1.015642853E3
4.009985233E2,1.015642548E3
4.020635102E2,1.015642853E3
4.031285053E2,1.015642548E3
4.041934752E2,1.015644379E3
4.052584493E2,1.015647812E3
4.063233613E2,1.015652237E3
4.073882762E2,1.015653687E3
4.084532502E2,1.015653687E3
4.095182352E2,1.015653687E3
4.105832902E2,1.015655823E3
4.116483242E2,1.015655823E3
4.127133573E2,1.015657730E3
4.137783982E2,1.015659256E3
4.148434273E2,1.015659256E3
4.159084302E2,1.015658722E3
4.169733773E2,1.015657730E3
4.180383162E2,1.015655365E3
4.191032152E2,1.015655365E3
4.201681922E2,1.015654984E3
4.212332072E2,1.015652618E3
4.222981952E2,1.015647354E3
4.233631242E2,1.015647354E3
4.244280742E2,1.015647507E3
4.254930702E2,1.015653610E3
4.265580573E2,1.015654907E3
4.276230752E2,1.015663834E3
4.286880563E2,1.015664978E3
4.297530212E2,1.015669861E3
4.308179583E2,1.015671082E3
4.318829693E2,1.015669861E3
4.329479733E2,1.015672455E3
4.340129943E2,1.015669098E3
4.350779812E2,1.015669098E3
4.361429993E2,1.015669098E3
4.372079902E2,1.015672150E3
4.382730032E2,1.015681610E3
4.393380332E2,1.015681610E3
4.404030243E2,1.015677185E3
4.414679883E2,1.015665207E3
4.425329663E2,1.015664825E3
4.435979552E2,1.015664673E3
4.446628933E2,1.015664825E3
4.457278703E2,1.015666122E3
4.467928282E2,1.015668793E3
4.478577502E2,1.015666122E3
4.489226962E2,1.015664978E3
4.499876203E2,1.015663605E3
4.510525652E2,1.015662537E3
4.521174922E2,1.015659714E3
4.531824102E2,1.015659714E3
4.542474152E2,1.015661469E3
4.553124123E2,1.015661469E3
4.563774012E2,1.015660019E3
4.574424143E2,1.015656433E3
4.585073773E2,1.015651779E3
4.595723543E2,1.015651779E3
4.606373553E2,1.015649261E3
4.617023962E2,1.015647354E3
4.627674293E2,1.015646667E3
4.638324653E2,1.015644608E3
4.648974752E2,1.015642700E3
4.659624573E2,1.015644226E3
4.670274683E2,1.015644226E3
4.680924453E2,1.015646667E3
4.691574603E2,1.015646667E3
4.702224952E2,1.015647507E3
4.712874963E2,1.015647507E3
4.723525303E2,1.015654068E3
4.734175912E2,1.015654068E3
4.744826723E2,1.015654068E3
4.755477462E2,1.015652161E3
4.766128182E2,1.015652161E3
4.776779272E2,1.015647736E3
4.787430352E2,1.015647736E3
4.798080913E2,1.015651321E3
4.808731603E2,1.015656586E3
4.819381943E2,1.015651932E3
4.830032053E2,1.015655518E3
4.840682563E2,1.015655518E3
4.851333622E2,1.015655518E3
4.861983993E2,1.015645218E3
4.872634033E2,1.015645218E3
4.883284262E2,1.015654526E3
4.893934293E2,1.015658569E3
4.904585183E2,1.015659409E3
4.915236162E2,1.015665436E3
4.925886982E2,1.015666122E3
4.936537413E2,1.015667419E3
4.947187983E2,1.015666122E3
4.957838613E2,1.015666733E3
4.968489163E2,1.015661926E3
4.979139972E2,1.015666656E3
4.989790192E2,1.015666656E3
5.000440482E2,1.015670090E3
5.011090503E2,1.015670090E3
5.021741173E2,1.015657425E3
5.032391732E2,1.015656433E3
5.043042402E2,1.015641708E3
5.053692932E2,1.015625916E3
5.064342883E2,1.015616913E3
5.074992652E2,1.015614243E3
5.085642652E2,1.015614243E3
5.096292612E2,1.015614471E3
5.106942813E2,1.015617218E3
5.117592773E2,1.015619812E3
5.128242812E2,1.015621948E3
5.138893072E2,1.015624161E3
5.149543123E2,1.015625458E3
5.160192762E2,1.015626526E3
5.170842172E2,1.015627594E3
5.181492483E2,1.015627594E3
5.192143093E2,1.015627136E3
5.202793192E2,1.015624237E3
5.213443563E2,1.015621872E3
5.224093373E2,1.015618057E3
5.234743222E2,1.015614319E3
5.245393352E2,1.015610962E3
5.256043593E2,1.015609055E3
