"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.364888359E2,5.233488697E1,4.863913933E0,4.746962667E0,NaN,NaN,3.500000000E1,1.665662003E1
1.378070359E2,5.233489025E1,4.863912932E0,4.747525275E0,NaN,NaN,3.500000000E1,1.606436729E1
1.438157920E2,5.233483143E1,4.863930905E0,4.748127222E0,NaN,NaN,3.933333333E1,1.936287117E1
1.442140440E2,5.233486506E1,4.863920838E0,4.746927381E0,NaN,NaN,3.500000000E1,1.664689064E1
1.455318639E2,5.233487761E1,4.863917098E0,4.746160626E0,NaN,NaN,3.500000000E1,1.605884933E1
1.515367930E2,5.233483208E1,4.863930777E0,4.745388627E0,NaN,NaN,3.933333333E1,1.935915756E1
1.520948889E2,5.233485939E1,4.863922559E0,4.741449893E0,NaN,NaN,3.500000000E1,1.679026413E1
1.533714490E2,5.233486711E1,4.863920236E0,4.738974571E0,NaN,NaN,3.500000000E1,1.609288216E1
1.593795949E2,5.233483090E1,4.863931103E0,4.736435533E0,NaN,NaN,3.933333333E1,1.937058067E1
1.597811940E2,5.233488149E1,4.863915618E0,4.737490177E0,NaN,NaN,3.500000000E1,1.665426636E1
1.610969300E2,5.233489901E1,4.863910244E0,4.738179624E0,NaN,NaN,3.500000000E1,1.606062698E1
1.671056060E2,5.233484605E1,4.863926376E0,4.738925040E0,NaN,NaN,3.933333333E1,1.936176872E1
1.731310999E2,5.233482116E1,4.863933989E0,4.739386141E0,NaN,NaN,3.933333333E1,2.030265808E1
1.735328460E2,5.233487269E1,4.863918278E0,4.746188283E0,NaN,NaN,3.500000000E1,1.716327477E1
1.750065050E2,5.233489057E1,4.863912822E0,4.750420570E0,NaN,NaN,3.500000000E1,1.647887421E1
1.810122460E2,5.233484442E1,4.863926918E0,4.754572570E0,NaN,NaN,3.933333333E1,1.947839546E1
1.814144269E2,5.233489014E1,4.863912958E0,4.760122955E0,NaN,NaN,3.500000000E1,1.671467781E1
