"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718307001535254E9,"2024-06-13 21:30:01.535 UTC+02:00"
"PAUSE",5.320085791666643E2,1.718307533529462E9,"2024-06-13 21:38:53.529 UTC+02:00"
